Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
ACTR5	ACTR5	ACTR5	0	0	0.00	1	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.28	0.00	0.37	
ACTR5	RUVBL2	RUVBL2	73	73	73.00	1	6|0|1|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	16.42	93.86	0.00	
ACTR5	RUVBL1	RUVBL1	50	50	50.00	1	3|2|0|0|0|0|0|2|0	1.00	1.00	1.00	1.00	1.00	32.44	64.29	0.00	
ACTR5	INO80C	INO80C	26	26	26.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	41.26	260.00	0.00	
ACTR5	ACTR8	ACTR8	32	32	32.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	49.97	320.00	0.00	
ACTR5	CCT2	CCT2	16	16	16.00	1	1|14|20|0|0|0|0|0|0	0.93	0.93	0.93	0.93	0.93	2.63	4.11	0.01	
ACTR5	CCT5	CCT5	31	31	31.00	1	0|6|13|0|0|8|2|1|0	1.00	1.00	1.00	1.00	1.00	5.53	9.30	0.00	
ACTR5	ACTL6A	ACTL6A	16	16	16.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	26.53	160.00	0.00	
ACTR5	CCT3	CCT3	16	16	16.00	1	0|3|9|0|0|0|2|1|0	0.99	0.99	0.99	0.99	0.99	4.59	9.60	0.00	
ACTR5	STK38	STK38	23	23	23.00	1	151|129|151|81|123|49|74|41|0	0.00	0.00	0.00	0.00	0.00	-310.54	0.26	0.37	
ACTR5	ACTB	ACTB	13	13	13.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	22.03	130.00	0.00	
ACTR5	HSPA1B	HSPA1B	29	29	29.00	1	11|52|25|0|6|25|37|71|25	0.00	0.00	0.00	0.00	0.00	-55.10	1.04	0.36	
ACTR5	CCT7	CCT7	19	19	19.00	1	0|13|22|0|0|1|1|1|0	0.95	0.95	0.95	0.95	0.95	2.97	4.50	0.01	
ACTR5	INO80B	INO80B	9	9	9.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	15.91	90.00	0.00	
ACTR5	INO80E	INO80E	8	8	8.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	14.35	80.00	0.00	
ACTR5	CCT8	CCT8	15	15	15.00	1	0|2|6|0|0|0|6|0|0	0.99	0.99	0.99	0.99	0.99	4.75	9.64	0.00	
ACTR5	NFRKB	NFRKB	39	39	39.00	1	0|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	60.08	390.00	0.00	
