Bait	Prey	#Rep	AvgP	BFDR
NKX25	A0A0A0MRZ7	3	0.0001	0.7599
NKX25	A6NHR9	3	1.0000	0.0000
NKX25	H7BZ55	3	0.3333	0.2552
NKX25	O00425	3	0.0000	0.7800
NKX25	O00571	3	0.0159	0.6600
NKX25	O14979	3	0.0008	0.7358
NKX25	O15027	3	0.0000	0.7800
NKX25	O15235	3	0.0011	0.7324
NKX25	O15523	3	0.0000	0.7800
NKX25	O43143	3	0.0007	0.7390
NKX25	O43390	3	0.0001	0.7599
NKX25	O60506	3	0.0001	0.7599
NKX25	O60716	3	0.0360	0.5798
NKX25	O60783	3	0.0000	0.7800
NKX25	O60869	3	0.6667	0.0591
NKX25	O75525	3	0.0000	0.7800
NKX25	O75533	3	0.0000	0.7800
NKX25	O76024	3	0.0001	0.7599
NKX25	P01834	3	0.0011	0.7324
NKX25	P01859	3	0.0043	0.7002
NKX25	P02461	3	0.0000	0.7800
NKX25	P04075	3	0.7006	0.0139
NKX25	P04406	3	0.5406	0.1868
NKX25	P05141	3	0.0000	0.7800
NKX25	P05386	3	0.0000	0.7800
NKX25	P05388	3	0.0000	0.7800
NKX25	P05783	3	0.4199	0.2138
NKX25	P06733	3	0.1121	0.4949
NKX25	P06748	3	1.0000	0.0000
NKX25	P07305	3	0.0000	0.7800
NKX25	P07437	3	0.2389	0.3997
NKX25	P07910	3	0.0001	0.7599
NKX25	P08238	3	0.0209	0.6406
NKX25	P08621	3	0.0000	0.7800
NKX25	P08670	3	0.3437	0.2345
NKX25	P09211	3	0.3333	0.2552
NKX25	P09651	3	0.0000	0.7800
NKX25	P0CG05	3	0.0000	0.7800
NKX25	P0DI83	3	0.3333	0.2552
NKX25	P10412	3	0.2469	0.3813
NKX25	P10809	3	0.0504	0.5554
NKX25	P11021	3	0.0049	0.6959
NKX25	P11142	3	0.0788	0.5195
NKX25	P12829	3	0.0901	0.5048
NKX25	P13533	3	0.1196	0.4899
NKX25	P14618	3	0.0020	0.7163
NKX25	P14866	3	0.0331	0.5875
NKX25	P15880	3	0.0000	0.7800
NKX25	P16401	3	0.0022	0.7124
NKX25	P16402	3	0.0090	0.6800
NKX25	P17844	3	0.0000	0.7800
NKX25	P18077	3	0.0000	0.7800
NKX25	P18124	3	0.0001	0.7599
NKX25	P18621	3	0.0000	0.7800
NKX25	P19105	3	0.0044	0.6981
NKX25	P19237	3	0.0000	0.7800
NKX25	P19338	3	0.0000	0.7800
NKX25	P19474	3	0.4799	0.1946
NKX25	P20700	3	0.0504	0.5554
NKX25	P22087	3	0.0682	0.5334
NKX25	P22626	3	0.0000	0.7800
NKX25	P23246	3	0.0061	0.6847
NKX25	P23396	3	0.0001	0.7599
NKX25	P24844	3	0.0000	0.7800
NKX25	P25705	3	0.0054	0.6870
NKX25	P26368	3	0.2414	0.3937
NKX25	P26373	3	0.0000	0.7800
NKX25	P26641	3	0.0000	0.7800
NKX25	P27448	3	0.9538	0.0015
NKX25	P27635	3	0.0017	0.7237
NKX25	P27816	3	0.8319	0.0043
NKX25	P30050	3	0.0416	0.5759
NKX25	P30876	3	0.0000	0.7800
NKX25	P31942	3	0.0000	0.7800
NKX25	P31943	3	0.0000	0.7800
NKX25	P32969	3	0.0779	0.5242
NKX25	P35030	3	0.0000	0.7800
NKX25	P35268	3	0.0193	0.6492
NKX25	P35527	3	0.0000	0.7800
NKX25	P35579	3	0.1804	0.4484
NKX25	P35580	3	0.0830	0.5097
NKX25	P35637	3	0.0000	0.7800
NKX25	P36542	3	0.6707	0.0449
NKX25	P36578	3	0.0000	0.7800
NKX25	P37108	3	0.1716	0.4537
NKX25	P38159	3	0.0002	0.7557
NKX25	P38919	3	0.0276	0.6091
NKX25	P39023	3	0.0000	0.7800
NKX25	P42677	3	0.0000	0.7800
NKX25	P43243	3	0.0002	0.7557
NKX25	P46087	3	0.3333	0.2552
NKX25	P46776	3	0.0000	0.7800
NKX25	P46778	3	0.0019	0.7200
NKX25	P46779	3	0.0001	0.7599
NKX25	P46781	3	0.0000	0.7800
NKX25	P46782	3	0.0000	0.7800
NKX25	P47755	3	0.3180	0.3425
NKX25	P47756	3	0.0000	0.7800
NKX25	P48730	3	0.0515	0.5511
NKX25	P49207	3	0.0000	0.7800
NKX25	P49458	3	0.0284	0.6056
NKX25	P50454	3	0.0000	0.7800
NKX25	P50914	3	0.0000	0.7800
NKX25	P51610	3	0.0001	0.7599
NKX25	P51991	3	0.0000	0.7800
NKX25	P52272	3	0.0015	0.7272
NKX25	P52597	3	0.0105	0.6752
NKX25	P52907	3	0.0308	0.5986
NKX25	P52952	3	1.0000	0.0000
NKX25	P55265	3	0.0294	0.6021
NKX25	P55735	3	0.0422	0.5719
NKX25	P55795	3	0.0113	0.6728
NKX25	P60660	3	0.0662	0.5380
NKX25	P60709	3	0.0691	0.5288
NKX25	P60866	3	0.1229	0.4849
NKX25	P61353	3	0.0000	0.7800
NKX25	P61513	3	0.0000	0.7800
NKX25	P61978	3	0.0006	0.7438
NKX25	P62081	3	0.0000	0.7800
NKX25	P62158	3	0.0000	0.7800
NKX25	P62241	3	0.0029	0.7044
NKX25	P62244	3	0.0000	0.7800
NKX25	P62249	3	0.0031	0.7023
NKX25	P62263	3	0.0053	0.6893
NKX25	P62266	3	0.0482	0.5638
NKX25	P62269	3	0.0000	0.7800
NKX25	P62277	3	0.0017	0.7237
NKX25	P62280	3	0.0241	0.6286
NKX25	P62304	3	0.6838	0.0298
NKX25	P62306	3	0.0003	0.7528
NKX25	P62316	3	0.0000	0.7800
NKX25	P62318	3	0.0000	0.7800
NKX25	P62424	3	0.0000	0.7800
NKX25	P62701	3	0.0013	0.7290
NKX25	P62753	3	0.0001	0.7599
NKX25	P62805	3	0.0028	0.7064
NKX25	P62829	3	0.0802	0.5146
NKX25	P62847	3	0.0000	0.7800
NKX25	P62851	3	0.0002	0.7557
NKX25	P62854	3	0.0174	0.6574
NKX25	P62861	3	0.2980	0.3489
NKX25	P62888	3	0.0121	0.6703
NKX25	P62913	3	0.0000	0.7800
NKX25	P62937	3	0.5801	0.1633
NKX25	P62995	3	0.0005	0.7469
NKX25	P63162	3	0.0000	0.7800
NKX25	P63173	3	0.0270	0.6125
NKX25	P63244	3	0.0004	0.7499
NKX25	P63261	3	0.0007	0.7390
NKX25	P67809	3	0.0000	0.7800
NKX25	P68032	3	0.0262	0.6158
NKX25	P68363	3	0.0941	0.4998
NKX25	P68371	3	0.0000	0.7800
NKX25	P82650	3	0.0000	0.7800
NKX25	P82979	3	0.0205	0.6435
NKX25	P83731	3	0.0000	0.7800
NKX25	P84090	3	0.0001	0.7599
NKX25	P84098	3	0.0000	0.7800
NKX25	P84103	3	0.1501	0.4640
NKX25	P98179	3	0.0020	0.7163
NKX25	Q00325	3	0.0000	0.7800
NKX25	Q00839	3	0.0000	0.7800
NKX25	Q01449	3	0.0000	0.7800
NKX25	Q01844	3	0.0233	0.6317
NKX25	Q02543	3	0.0000	0.7800
NKX25	Q02878	3	0.0000	0.7800
NKX25	Q03164	3	0.0051	0.6937
NKX25	Q03252	3	0.0445	0.5679
NKX25	Q05682	3	0.2476	0.3748
NKX25	Q06413	3	0.2777	0.3619
NKX25	Q07020	3	0.0000	0.7800
NKX25	Q07666	3	0.0211	0.6347
NKX25	Q08211	3	0.0000	0.7800
NKX25	Q12905	3	0.0000	0.7800
NKX25	Q12906	3	0.0000	0.7800
NKX25	Q13029	3	0.0000	0.7800
NKX25	Q13148	3	0.0025	0.7104
NKX25	Q13151	3	0.0000	0.7800
NKX25	Q13242	3	0.0000	0.7800
NKX25	Q13435	3	0.3333	0.2552
NKX25	Q13595	3	0.0071	0.6824
NKX25	Q14011	3	0.0000	0.7800
NKX25	Q14103	3	0.0001	0.7599
NKX25	Q14498	3	0.0638	0.5424
NKX25	Q14684	3	0.6667	0.0591
NKX25	Q14980	3	0.0211	0.6347
NKX25	Q15029	3	0.2654	0.3684
NKX25	Q15233	3	0.5669	0.1713
NKX25	Q15287	3	0.0006	0.7438
NKX25	Q15365	3	0.3386	0.2450
NKX25	Q15393	3	0.0000	0.7800
NKX25	Q15424	3	0.0013	0.7290
NKX25	Q15717	3	0.0005	0.7469
NKX25	Q15785	3	0.1982	0.4378
NKX25	Q16527	3	0.1288	0.4745
NKX25	Q16629	3	0.0000	0.7800
NKX25	Q16777	3	0.0000	0.7800
NKX25	Q1KMD3	3	0.0001	0.7599
NKX25	Q52LJ0	3	0.0359	0.5837
NKX25	Q59GN2	3	0.0000	0.7800
NKX25	Q5BKZ1	3	0.0007	0.7390
NKX25	Q5T9A4	3	0.0000	0.7800
NKX25	Q5VTE0	3	0.0177	0.6547
NKX25	Q63HR2	3	0.6621	0.1225
NKX25	Q6PGN9	3	0.6655	0.1048
NKX25	Q6SPF0	3	0.2301	0.4168
NKX25	Q71DI3	3	0.0000	0.7800
