Bait	Prey	#Rep	#Pep	AvgP	BFDR
gata4	A0A075B6P5	3	1	0.0027	0.5310
gata4	A0A0C4DH55	3	1	0.0060	0.5296
tbx5	A0A0C4DH55	3	1	0.0428	0.5187
gata4	A6NHR9	3	1	0.6663	0.1870
tbx5	A8CG34	3	1	0.3333	0.3333
gata4	B9A064	3	4	0.1545	0.4814
tbx5	B9A064	3	4	0.2038	0.4622
tbx5	O00159	3	3	0.3332	0.4193
tbx5	O00231	3	7	0.9167	0.0170
tbx5	O00232	3	3	0.3333	0.3333
tbx5	O00257	3	1	0.3333	0.3333
gata4	O00264	3	6	0.8889	0.0289
tbx5	O00264	3	6	0.6667	0.1340
gata4	O00267	3	1	0.6667	0.1340
tbx5	O00267	3	1	0.3332	0.4193
tbx5	O00411	3	14	0.7074	0.1230
tbx5	O00422	3	3	0.5556	0.2208
gata4	O00425	3	1	0.9985	0.0001
gata4	O00443	3	2	0.1667	0.4696
tbx5	O00443	3	2	0.6634	0.1929
tbx5	O00470	3	2	0.6667	0.1340
tbx5	O00479	3	1	1.0000	0.0000
gata4	O00483	3	2	0.4983	0.2765
tbx5	O00483	3	2	0.4702	0.2824
tbx5	O00487	3	2	0.6667	0.1340
tbx5	O00560	3	2	0.3333	0.3333
gata4	O00567	3	21	0.5697	0.2164
tbx5	O00567	3	21	0.5974	0.2091
gata4	O00571	3	18	0.6786	0.1305
tbx5	O00571	3	18	0.8829	0.0365
tbx5	O00629	3	2	0.3332	0.4193
tbx5	O14497	3	5	0.8887	0.0334
gata4	O14519	3	2	0.1505	0.4821
tbx5	O14519	3	2	0.1667	0.4696
tbx5	O14646	3	9	0.4667	0.2827
gata4	O14654	3	6	0.6666	0.1767
tbx5	O14654	3	6	0.6666	0.1767
tbx5	O14686	3	3	0.6665	0.1840
tbx5	O14770	3	2	1.0000	0.0000
gata4	O14776	3	7	0.9163	0.0203
tbx5	O14776	3	7	0.4994	0.2746
tbx5	O14818	3	7	0.6667	0.1340
gata4	O14874	3	1	0.3333	0.3333
gata4	O14908	3	17	0.9238	0.0142
tbx5	O14908	3	17	0.3238	0.4314
gata4	O14965	3	5	0.8889	0.0289
tbx5	O14965	3	5	0.6663	0.1870
gata4	O14979	3	2	0.4997	0.2740
tbx5	O15014	3	5	0.5556	0.2208
tbx5	O15015	3	2	0.3333	0.3333
tbx5	O15042	3	6	0.5382	0.2451
gata4	O15047	3	7	0.0470	0.5162
tbx5	O15047	3	7	0.1903	0.4649
