Interactor1	Interactor2	Complex.name	Complex.id	geneName1	geneName2	GATA4	TBX5	NKX25
Q9BV90	Q6IEG0	18S U11/U12 snRNP	430	SNRNP25	SNRNP48	1	0	1
Q9BV90	O43143	18S U11/U12 snRNP	430	SNRNP25	DHX15	1	0	1
Q9BV90	Q8N8D1	18S U11/U12 snRNP	430	SNRNP25	PDCD7	1	0	1
Q9BV90	Q6P2Q9	18S U11/U12 snRNP	430	SNRNP25	PRPF8	1	0	1
Q9BV90	Q96LT9	18S U11/U12 snRNP	430	SNRNP25	RNPC3	1	0	1
Q9BV90	O75533	18S U11/U12 snRNP	430	SNRNP25	SF3B1	1	0	1
Q9BV90	Q9Y3B4	18S U11/U12 snRNP	430	SNRNP25	SF3B6	1	0	1
Q9BV90	Q13435	18S U11/U12 snRNP	430	SNRNP25	SF3B2	1	0	1
Q9BV90	Q15393	18S U11/U12 snRNP	430	SNRNP25	SF3B3	1	0	1
Q9BV90	Q15427	18S U11/U12 snRNP	430	SNRNP25	SF3B4	1	0	1
Q9BV90	Q9BWJ5	18S U11/U12 snRNP	430	SNRNP25	SF3B5	1	0	1
Q9BV90	P14678	18S U11/U12 snRNP	430	SNRNP25	SNRPB	1	0	1
Q9BV90	P62314	18S U11/U12 snRNP	430	SNRNP25	SNRPD1	1	0	1
Q9BV90	P62316	18S U11/U12 snRNP	430	SNRNP25	SNRPD2	1	0	1
Q9BV90	P62318	18S U11/U12 snRNP	430	SNRNP25	SNRPD3	1	0	1
Q9BV90	P62304	18S U11/U12 snRNP	430	SNRNP25	SNRPE	1	0	1
Q9BV90	P62306	18S U11/U12 snRNP	430	SNRNP25	SNRPF	1	0	1
Q9BV90	P62308	18S U11/U12 snRNP	430	SNRNP25	SNRPG	1	0	1
Q9BV90	Q16560	18S U11/U12 snRNP	430	SNRNP25	SNRNP35	1	0	1
Q9BV90	P67809	18S U11/U12 snRNP	430	SNRNP25	YBX1	1	0	1
Q9BV90	Q8TBF4	18S U11/U12 snRNP	430	SNRNP25	ZCRB1	1	0	1
Q9BV90	Q9UDW3	18S U11/U12 snRNP	430	SNRNP25	ZMAT5	1	0	1
Q9BV90	Q15696	18S U11/U12 snRNP	430	SNRNP25	ZRSR2	1	0	1
Q6IEG0	O43143	18S U11/U12 snRNP	430	SNRNP48	DHX15	1	0	1
Q6IEG0	Q8N8D1	18S U11/U12 snRNP	430	SNRNP48	PDCD7	1	0	1
Q6IEG0	Q6P2Q9	18S U11/U12 snRNP	430	SNRNP48	PRPF8	1	0	1
Q6IEG0	Q96LT9	18S U11/U12 snRNP	430	SNRNP48	RNPC3	1	0	1
Q6IEG0	O75533	18S U11/U12 snRNP	430	SNRNP48	SF3B1	1	0	1
Q6IEG0	Q9Y3B4	18S U11/U12 snRNP	430	SNRNP48	SF3B6	1	0	1
