UniProt	GeneSymbol	GATA4_expanded	TBX5_expanded	NKX25_expanded
Q9UBL3	ASH2L	1	1	0
P61964	WDR5	1	1	0
O15047	SETD1A	1	1	0
Q9BV90	SNRNP25	1	0	1
Q6IEG0	SNRNP48	1	0	1
O43143	DHX15	1	0	1
Q8N8D1	PDCD7	1	0	1
Q6P2Q9	PRPF8	1	0	1
Q96LT9	RNPC3	1	0	1
O75533	SF3B1	1	0	1
Q9Y3B4	SF3B6	1	0	1
Q13435	SF3B2	1	0	1
Q15393	SF3B3	1	0	1
Q15427	SF3B4	1	0	1
Q9BWJ5	SF3B5	1	0	1
P14678	SNRPB	1	0	1
P62314	SNRPD1	1	0	1
P62316	SNRPD2	1	0	1
P62318	SNRPD3	1	0	1
P62304	SNRPE	1	0	1
P62306	SNRPF	1	0	1
P62308	SNRPG	1	0	1
Q16560	SNRNP35	1	0	1
P67809	YBX1	1	0	1
Q8TBF4	ZCRB1	1	0	1
Q9UDW3	ZMAT5	1	0	1
O60306	AQR	1	0	1
Q8WUQ7	CACTIN	1	0	1
O60508	CDC40	1	0	1
Q99459	CDC5L	1	0	1
Q9BZJ0	CRNKL1	1	0	1
Q9P013	CWC15	1	0	1
Q9HCG8	CWC22	1	0	1
Q9BUQ8	DDX23	1	0	1
Q9UJV9	DDX41	1	0	1
P17844	DDX5	1	0	1
Q96DF8	ESS2	1	0	1
Q9H5Z1	DHX35	1	0	1
Q92620	DHX38	1	0	1
Q14562	DHX8	1	0	1
Q15029	EFTUD2	1	0	1
P38919	EIF4A3	1	0	1
Q14331	FRG1	1	0	1
Q9BRR8	GPATCH1	1	0	1
P09651	HNRNPA1	1	0	1
P22626	HNRNPA2B1	1	0	1
P51991	HNRNPA3	1	0	1
P07910	HNRNPC	1	0	1
P52597	HNRNPF	1	0	1
P31943	HNRNPH1	1	0	1
P61978	HNRNPK	1	0	1
P52272	HNRNPM	1	0	1
O43390	HNRNPR	1	0	1
Q00839	HNRNPU	1	0	1
Q9ULR0	ISY1	1	0	1
Q9Y333	LSM2	1	0	1
P62310	LSM3	1	0	1
P61326	MAGOH	1	0	1
Q9BRX9	WDR83	1	0	1
P11940	PABPC1	1	0	1
O43660	PLRG1	1	0	1
Q9H307	PNN	1	0	1
Q9UNP9	PPIE	1	0	1
Q9Y3C6	PPIL1	1	0	1
Q9H2H8	PPIL3	1	0	1
Q96BP3	PPWD1	1	0	1
Q9UMS4	PRPF19	1	0	1
Q13523	PRPF4B	1	0	1
O94906	PRPF6	1	0	1
Q9UKM9	RALY	1	0	1
Q9NW64	RBM22	1	0	1
Q9Y5S9	RBM8A	1	0	1
P38159	RBMX	1	0	1
O43290	SART1	1	0	1
Q6UX04	CWC27	1	0	1
Q15459	SF3A1	1	0	1
Q15428	SF3A2	1	0	1
Q12874	SF3A3	1	0	1
Q07955	SRSF1	1	0	1
P42285	MTREX	1	0	1
O95391	SLU7	1	0	1
O75643	SNRNP200	1	0	1
Q96DI7	SNRNP40	1	0	1
P09661	SNRPA1	1	0	1
P08579	SNRPB2	1	0	1
Q13573	SNW1	1	0	1
Q8IYB3	SRRM1	1	0	1
Q9UQ35	SRRM2	1	0	1
O95926	SYF2	1	0	1
O60506	SYNCRIP	1	0	1
Q9UBB9	TFIP11	1	0	1
Q86V81	ALYREF	1	0	1
Q01081	U2AF1	1	0	1
Q9HCS7	XAB2	1	0	1
Q8IWX8	CHERP	1	0	1
Q7L014	DDX46	1	0	1
O75937	DNAJC8	1	0	1
Q9P0W2	HMG20B	1	0	1
P10809	HSPD1	1	0	1
Q7RTV0	PHF5A	1	0	1
Q9UHX1	PUF60	1	0	1
Q96I25	RBM17	1	0	1
O75940	SMNDC1	1	0	1
O15042	U2SURP	1	0	1
Q12931	TRAP1	1	0	1
P34932	HSPA4	1	0	1
P19338	NCL	1	0	1
Q15233	NONO	1	0	1
P06748	NPM1	1	0	1
P09874	PARP1	1	0	1
Q92878	RAD50	1	0	1
Q04724	TLE1	1	0	1
Q15696	ZRSR2	1	0	1
Q6NZY4	ZCCHC8	1	0	1
P26368	U2AF2	1	0	1
Q02880	TOP2B	1	0	1
