Complex.id	Complex.name
15	NCOR complex
41	Mi-2/NuRD-MTA2 complex
49	DNMT3B complex
54	SIN3 complex
58	SMRT complex
61	Mi2/NuRD complex
62	MeCP1 complex
71	MRN complex (MRE11-RAD50-NBS1 complex)
72	R/M complex (RAD50-MRE11 complex)
73	MRN complex (MRE11-RAD50-NBN complex)
374	MSH2-MSH6 complex
375	MSH2-MSH3 complex
376	PCNA-MutS-alpha-MutL-alpha-DNA complex
377	PCNA-MutS-alpha-DNA initial complex
378	MutS-beta complex
391	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)
430	18S U11/U12 snRNP
431	MSH2-MSH6-PMS2-MLH1 complex
433	BASC complex (BRCA1-associated genome surveillance complex)
434	BASC (Ab 80) complex (BRCA1-associated genome surveillance complex)
436	BASC (Ab C-20) complex (BRCA1-associated genome surveillance complex)
438	GCN5-TRRAP histone acetyltransferase complex
551	TDT-TDIF2-core-histone complex
554	PBAF complex (Polybromo- and BAF containing complex)
555	BAF complex
556	PBAF complex (Polybromo- and BAF containing complex)
564	BAF complex
565	PBAF complex (Polybromo- and BAF containing complex)
566	BAF complex
570	p300-CBP-p270-SWI/SNF complex
571	p300-CBP-p270 complex
585	Mi2/NuRD-BCL6-MTA3 complex
587	NuRD.1 complex
591	SAP complex (Sin3-associated protein complex)
592	SAP complex (Sin3-associated protein complex)
596	SIN3-HDAC-SAP30-ARID4 complex
614	NRD complex (Nucleosome remodeling and deacetylation complex)
618	MRN complex (MRE11-RAD50-NBN complex)
619	MRE11A-RAD50-NBN-TRF2 complex
620	CoREST-HDAC complex
626	LSD1 complex
627	MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex)
632	Anti-HDAC2 complex
633	anti-BHC110 complex
634	XFIM complex
636	BHC complex
642	CtBP complex
643	CtBP core complex
646	HDAC1-associated protein complex
648	HDAC1-associated core complex cI
649	HDAC1-associated core complex cII
650	HDAC2-asscociated core complex
659	MeCP1 complex
685	MeCP1 complex
691	SIN3-SAP25 complex
695	SIN3-HDAC-SAP30-ARID4 complex
696	BRMS1-SIN3-HDAC complex
698	SIN3-HDAC-SAP30-ARID4 complex
710	Brg1-associated complex I
711	Brm-associated complex
713	BRG1-SIN3A complex
714	BRM-SIN3A complex
720	PU.1-SIN3A-HDAC complex
725	P2X7 receptor signalling complex
726	DDB2 complex
727	CSA complex
728	CSA-POLIIa complex
732	SIN3 complex
738	SIN3-ING1b complex I
739	SIN3-ING1b complex II
741	NCOR-HDAC3 complex
743	SIN3-SAP25 complex
745	NCOR-SIN3-RPD3 complex
747	NCOR-SIN3-HDAC1 complex
749	MeCP2-SIN3A-HDAC complex
752	SMRT core complex
871	BRAF53-BRCA2 complex
886	MTA1 complex
888	MTA2 complex
889	MTA1-HDAC core complex
1178	BCOR complex
1181	C complex spliceosome
1182	CDC5L core complex
1183	CDC5L complex
1188	SMRT core complex
1189	DNA double-strand break end-joining complex
1193	Rap1 complex
1332	Large Drosha complex
2234	Chromatin assembly complex (CAF-1 complex)
2254	CTGF/Hcs24-actin complex
2255	Cofilin-actin-CAP1 complex
2300	Profilin 2 complex
2600	BRD4 complex
2601	P-TEFb-BRD4-TRAP220 complex
2649	MYC-DNMT3A-ZBTB17 complex
2650	DNMT3B-DNMT3L complex
2651	DNMT3L-DNMT3A
2657	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex
2721	HCF-1 complex
2722	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)
2740	MutS-alpha complex
2755	17S U2 snRNP
3102	DHX9-ADAR-vigilin-DNA-PK-Ku antigen complex
3135	TLE1 corepressor complex (MASH1 promoter-corepressor complex)
3137	MASH1 promoter-coactivator complex
3149	NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex
3156	CBF1-HDAC1-SMRT complex
3167	NCOR-SIN3-HDAC-HESX1 complex
3234	SMAD2-SMAD4-FAST1-TGIF-HDAC1 complex, TGF(beta) induced
3263	HERP1/HEY2-NCOR-SIN3A complex
3269	RB1-HDAC1-BRG1 complex
3618	GammaH2AFX-NDHII-Ku70-DNA complex
3852	Rb-HDAC1 complex
3853	Rb-HDAC1 complex
3917	Ternary complex (GATA4, SRF, MYOCD)
3961	SMAD3-cSKI-SIN3A-HDAC1 complex
4081	Ku70/Ku86 complex
4082	Ku70/Ku86/Werner complex
5870	FE65-TSHZ3-HDAC1 complex
6037	CHIP-HSC70 complex
6052	BAG3-HSC70-HSPB8-CHIP complex
