Interactor1	Interactor2	geneName1	geneName2	Complex.name	Complex.id
Q9BV90	Q6IEG0	SNRNP25	SNRNP48	18S U11/U12 snRNP	430
Q9BV90	O43143	SNRNP25	DHX15	18S U11/U12 snRNP	430
Q9BV90	Q8N8D1	SNRNP25	PDCD7	18S U11/U12 snRNP	430
Q9BV90	Q6P2Q9	SNRNP25	PRPF8	18S U11/U12 snRNP	430
Q9BV90	Q96LT9	SNRNP25	RNPC3	18S U11/U12 snRNP	430
Q9BV90	O75533	SNRNP25	SF3B1	18S U11/U12 snRNP	430
Q9BV90	Q9Y3B4	SNRNP25	SF3B6	18S U11/U12 snRNP	430
Q9BV90	Q13435	SNRNP25	SF3B2	18S U11/U12 snRNP	430
Q9BV90	Q15393	SNRNP25	SF3B3	18S U11/U12 snRNP	430
Q9BV90	Q15427	SNRNP25	SF3B4	18S U11/U12 snRNP	430
Q9BV90	Q9BWJ5	SNRNP25	SF3B5	18S U11/U12 snRNP	430
Q9BV90	P14678	SNRNP25	SNRPB	18S U11/U12 snRNP	430
Q9BV90	P62314	SNRNP25	SNRPD1	18S U11/U12 snRNP	430
Q9BV90	P62316	SNRNP25	SNRPD2	18S U11/U12 snRNP	430
Q9BV90	P62318	SNRNP25	SNRPD3	18S U11/U12 snRNP	430
Q9BV90	P62304	SNRNP25	SNRPE	18S U11/U12 snRNP	430
Q9BV90	P62306	SNRNP25	SNRPF	18S U11/U12 snRNP	430
Q9BV90	P62308	SNRNP25	SNRPG	18S U11/U12 snRNP	430
Q9BV90	Q16560	SNRNP25	SNRNP35	18S U11/U12 snRNP	430
Q9BV90	P67809	SNRNP25	YBX1	18S U11/U12 snRNP	430
Q9BV90	Q8TBF4	SNRNP25	ZCRB1	18S U11/U12 snRNP	430
Q9BV90	Q9UDW3	SNRNP25	ZMAT5	18S U11/U12 snRNP	430
Q9BV90	Q15696	SNRNP25	ZRSR2	18S U11/U12 snRNP	430
Q6IEG0	O43143	SNRNP48	DHX15	18S U11/U12 snRNP	430
Q6IEG0	Q8N8D1	SNRNP48	PDCD7	18S U11/U12 snRNP	430
Q6IEG0	Q6P2Q9	SNRNP48	PRPF8	18S U11/U12 snRNP	430
Q6IEG0	Q96LT9	SNRNP48	RNPC3	18S U11/U12 snRNP	430
Q6IEG0	O75533	SNRNP48	SF3B1	18S U11/U12 snRNP	430
Q6IEG0	Q9Y3B4	SNRNP48	SF3B6	18S U11/U12 snRNP	430
Q6IEG0	Q13435	SNRNP48	SF3B2	18S U11/U12 snRNP	430
