UniProt	GeneSymbol	GATA4_expanded	TBX5_expanded	NKX25_expanded
Q9UIG0	BAZ1B	1	1	0
P11142	HSPA8	1	1	1
O96019	ACTL6A	1	1	0
O14497	ARID1A	1	1	0
Q13111	CHAF1A	1	1	0
P51531	SMARCA2	1	1	0
P51532	SMARCA4	1	1	0
Q12824	SMARCB1	1	1	0
Q92922	SMARCC1	1	1	0
Q8TAQ2	SMARCC2	1	1	0
Q96GM5	SMARCD1	1	1	0
Q969G3	SMARCE1	1	1	0
Q9Y5B9	SUPT16H	1	1	1
Q02880	TOP2B	1	1	1
Q9UBL3	ASH2L	1	1	1
Q9C005	DPY30	1	1	0
O00255	NA	1	1	0
Q15291	RBBP5	1	1	1
P51610	HCFC1	1	1	0
Q03164	KMT2A	1	1	0
P05546	NA	1	1	0
O60341	KDM1A	1	1	0
Q12873	CHD3	1	1	0
Q9P2I0	CPSF2	1	1	0
Q15029	EFTUD2	1	1	1
Q13547	HDAC1	1	1	0
Q92769	HDAC2	1	1	0
O95983	MBD3	1	1	0
O94776	MTA2	1	1	0
P62826	RAN	1	1	0
Q09028	RBBP4	1	1	0
Q16576	RBBP7	1	1	0
O00422	SAP18	1	1	0
O75446	SAP30	1	1	0
Q96ST3	SIN3A	1	1	0
O60264	SMARCA5	1	1	0
Q92797	SYMPK	1	1	0
P21675	TAF1	1	1	0
Q16514	TAF12	1	1	0
P49848	TAF6	1	1	0
Q16594	TAF9	1	1	0
P20226	TBP	1	1	0
O14686	NA	1	1	1
Q9H7Z6	KAT8	1	1	0
Q99496	RNF2	1	1	0
O15047	SETD1A	1	1	0
P61964	WDR5	1	1	1
Q16543	NA	1	1	0
P08238	HSP90AB1	1	1	0
Q8IXM2	NA	1	1	0
Q6PI98	NA	1	1	0
Q9HCK8	NA	1	1	0
O75461	E2F6	1	1	0
P34932	HSPA4	1	1	1
Q7Z3B3	KANSL1	1	1	0
Q9Y4W2	LAS1L	1	1	0
Q96EZ8	NA	1	1	0
O43451	NA	1	1	0
Q8IZL8	PELP1	1	1	0
Q9BVI0	NA	1	1	0
Q8WWY3	NA	1	1	1
Q9Y265	RUVBL1	1	1	0
Q9H4L4	SENP3	1	1	0
O00268	TAF4	1	1	0
Q15545	TAF7	1	1	0
Q9NXF1	TEX10	1	1	0
P11473	VDR	1	1	0
P04406	GAPDH	0	1	1
P09429	HMGB1	0	1	1
P26583	NA	0	1	1
P11142	HSPA8	1	1	1
Q9UKV3	ACIN1	1	0	1
O60306	AQR	1	0	1
Q13838	DDX39B	1	0	1
O75934	BCAS2	1	0	1
Q9BRD0	NA	1	0	1
P41223	NA	1	0	1
Q9Y6A4	NA	1	0	1
Q8WUQ7	CACTIN	1	0	1
