"ComplexID","ComplexName","DNV_pval","LoF_pval","rec_pval","combined_pval","GATA4","TBX5","NKX25","Genes"
3234,"SMAD2-SMAD4-FAST1-TGIF-HDAC1 complex, TGF(beta) induced",0.378016231917155,0.184781637714671,0.782794876456828,0.0479168098503034,1,0,0,"FOXH1;HDAC1;SMAD2;SMAD4;TGIF1"
727,"CSA complex",0.761928678375309,0.0681545369896361,0.782794876456828,0.0587161568271509,1,0,0,"COPS2;COPS3;COPS4;COPS5;COPS6;COPS8;CUL4A;DDB1;ERCC8;GPS1;RBX1;COPS7A;COPS7B"
2300,"Profilin 2 complex",0.38359460268024,0.264058441116349,0.782794876456828,0.0587161568271509,1,0,0,"ACTB;CYFIP1;DNM1;HSPA8;NCKAP1;PFN2;ROCK2;SYN1;SYN2"
2829,"RSmad complex",0.38359460268024,0.243772942410427,0.782794876456828,0.0769097255010727,1,0,0,"NA;CREBBP;NCOA3;SMAD2;SMAD3;SMAD4;SMARCA4;SMARCC1;SMARCC2;TRIM33"
1166,"p400-associated complex",0.38359460268024,0.587596322695339,0.782794876456828,0.103710812500704,1,0,0,"ACTB;EP400;RUVBL1;RUVBL2;TRRAP;ACTL6A;NA"
3063,"Brg1-associated complex II",0.53791014549362,0.204817125886207,0.782794876456828,0.106279412476747,1,0,0,"ACTL6A;ARID1A;PRMT5;SMARCA4;SMARCB1;SMARCC1;SMARCC2"
1257,"ALL-1 supercomplex",0.431489305363409,0.357848676622291,0.782794876456828,0.10707245956671,1,1,0,"KDM1A;CHD3;CPSF2;EFTUD2;HDAC1;HDAC2;MBD3;KMT2A;MTA2;RAN;RBBP4;RBBP5;RBBP7;SAP18;SAP30;SIN3A;SMARCA2;SMARCA5;SMARCB1;SMARCC1;SMARCC2;SYMPK;TAF1;TAF12;TAF6;TAF9;TBP;WDR5"
5386,"MLL1-WDR5 complex",0.204283997738402,0.940482536364571,0.782794876456828,0.125584055121573,1,1,0,"ASH2L;NA;E2F6;HCFC1;HSPA4;KANSL1;LAS1L;KMT2A;KAT8;PELP1;RBBP5;RNF2;RUVBL1;SENP3;TAF1;TAF4;TAF6;TAF7;TAF9;TEX10;WDR5"
728,"CSA-POLIIa complex",0.68928079269715,0.0496076251688626,0.782794876456828,0.133914773712402,1,0,0,"COPS2;COPS3;COPS4;COPS5;COPS6;COPS8;CUL4A;DDB1;ERCC8;GPS1;POLR2A;RBX1;COPS7A;COPS7B"
1401,"MOF complex",0.378016231917155,0.645762495654597,0.782794876456828,0.138782471586202,1,1,0,"KMT2A;NA;KAT8;RBBP5;RNF2;SETD1A;TAF1;TAF6;TAF9;WDR5"
5286,"TNF-alpha/NF-kappa B signaling complex 10",0.53791014549362,0.310223866511746,0.782794876456828,0.138782471586202,0,1,0,"NA;CCAR1;CHUK;HSP90AA1;HSP90AB1;IKBKG"
726,"DDB2 complex",0.761928678375309,0.157987013356611,0.782794876456828,0.139627417463657,1,0,0,"COPS2;COPS3;COPS4;COPS5;COPS6;COPS8;CUL4A;DDB1;DDB2;GPS1;RBX1;COPS7A;COPS7B"
290,"MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex",0.830315116462254,0.184781637714671,0.984440245988898,0.155244939091413,1,0,0,"MLH1;MSH2;PCNA;PMS2"
291,"MSH2-MLH1-PMS2 DNA-repair initiation complex",0.830315116462254,0.184781637714671,0.984440245988898,0.155244939091413,1,0,0,"MLH1;MSH2;PMS2"
189,"BAF complex",0.328979909089587,0.732530743583035,0.782794876456828,0.16021424918361,1,0,0,"SMARCA2;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCE1;ACTB;ACTG1;ACTL6A;NA;ARID1A"
5614,"Emerin complex 32",0.374848990058275,0.749641278621049,0.782794876456828,0.167212131804479,1,0,0,"ACTB;NA;CHD4;DPY30;EMD;HDAC1;HDAC3;HIST1H3F; HIST1H3E; HIST1H3B; HIST1H3J; HIST1H3G; HIST1H3D; HIST1H3H; HIST1H3I; HIST1H3C; HIST1H3A;LMNB1;MED4;RCOR1;SAP18;SMARCB1;SMARCC1;SMARCC2;SPTAN1;TBL1XR1;TBL1Y;TRIM28"
803,"BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I",0.53791014549362,0.322582720745485,0.782794876456828,0.173196113781333,1,0,0,"ACTL6A;ARID1A;HDAC2;PRMT5;SIN3A;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCE1"
807,"BRG1-associated complex",0.53791014549362,0.322582720745485,0.782794876456828,0.173196113781333,1,0,0,"ACTL6A;ARID1A;PRMT5;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCE1"
739,"SIN3-ING1b complex II",0.448245611403292,0.515633859698767,0.782794876456828,0.183813651459225,1,0,0,"ACTL6A;ARID1A;ARID4B;HDAC1;HDAC2;ING1;RBBP4;RBBP7;SAP18;SAP30;SIN3A;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1"
5235,"WRN-Ku70-Ku80-PARP1 complex",0.830315116462254,0.204817125886207,0.782794876456828,0.183813651459225,1,0,0,"PARP1;WRN;XRCC5;XRCC6"
5613,"Emerin complex 25",0.77789417328281,0.264058441116349,0.782794876456828,0.183813651459225,1,0,0,"ACTB;BANF1;NA;EMD;HNRNPK;LMNB1;LSM2;LSM8;SAP130;SNRPD1;SSB;YWHAB;YWHAE;ZRANB2"
711,"Brm-associated complex",0.448245611403292,0.461143237861555,0.782794876456828,0.204087973920364,1,0,0,"ACTL6A;ARID1A;PRMT5;SMARCA2;SMARCB1;SMARCC1;SMARCC2;SMARCE1;SMARCD1;SMARCD2;SMARCD3"
714,"BRM-SIN3A complex",0.448245611403292,0.461143237861555,0.782794876456828,0.204087973920364,1,0,0,"ACTL6A;ARID1A;HDAC1;HDAC2;PRMT5;RBBP4;SIN3A;SMARCA2;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCD2;SMARCD3;SMARCE1"
806,"BRM-SIN3A-HDAC complex",0.448245611403292,0.461143237861555,0.782794876456828,0.204087973920364,1,0,0,"ACTL6A;ARID1A;HDAC2;PRMT5;SIN3A;SMARCA2;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCD2;SMARCE1"
808,"BRM-associated complex",0.448245611403292,0.461143237861555,0.782794876456828,0.204087973920364,1,0,0,"ACTL6A;ARID1A;PRMT5;SMARCA2;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCD2;SMARCE1"
1230,"WINAC complex",0.449649961923273,0.560218434562096,0.782794876456828,0.204087973920364,1,1,0,"ACTL6A;ARID1A;BAZ1B;CHAF1A;SMARCA2;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD1;SMARCE1;SUPT16H;TOP2B;VDR"
778,"LARC complex (LCR-associated remodeling complex)",0.431489305363409,0.749641278621049,0.782794876456828,0.208122449635304,1,0,0,"ACTB;ACTL6A;ARID1A;CHD4;DPF2;GATAD2B;HDAC1;HDAC2;HNRNPC;MBD2;MBD3;MTA2;RBBP4;SMARCA4;SMARCB1;SMARCC1;SMARCC2;SMARCD2;SMARCE1"
1227,"H2AX complex II",0.347054910471894,0.37932479912997,0.782794876456828,0.210102858333167,0,0,1,"CALR;NA;H2AFX;HIST1H2BM;HIST1H4H; HIST1H4B; HIST1H4E; HIST4H4; HIST1H4I; HIST1H4F; HIST1H4A; HIST1H4D; HIST1H4K; HIST2H4A; HIST1H4C; HIST2H4B; HIST1H4L; HIST1H4J;HIST3H2BB;HSPA5;NPM1;PTCD3"
95,"Ku antigen-NARG1 complex",0.53791014549362,0.587596322695339,0.782794876456828,0.212537093227707,1,0,0,"NAA15;XRCC5;XRCC6"
1256,"MLL-HCF complex",0.448245611403292,0.978944845747628,0.782794876456828,0.212537093227707,1,1,0,"ASH2L;HCFC1;NA;KMT2A;RBBP5;WDR5"
570,"p300-CBP-p270-SWI/SNF complex",0.631919385605872,0.378247959196303,0.782794876456828,0.223937872136579,1,0,0,"ARID1A;CREBBP;EP300;SMARCA4;SMARCB1;SMARCC1;SMARCC2"
1332,"Large Drosha complex",0.68928079269715,0.094207840919015,0.782794876456828,0.223937872136579,1,0,0,"DDX1;DDX17;DDX3X;DDX5;DGCR8;DHX15;EWSR1;FUS;HNRNPH1;HNRNPM;HNRNPU;HNRNPUL1;HNRNPDL;ILF2;ILF3;RALY;DROSHA;SRPK1;TAF15;TARDBP"
308,"60S ribosomal subunit, cytoplasmic",0.378016231917155,0.957898539457844,0.782794876456828,0.242524634122105,1,0,0,"RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;NA;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9P7; RPL9P8; RPL9; RPL9P9;RPLP0;RPLP1;RPLP2"
2721,"HCF-1 complex",0.530662745691546,0.645762495654597,0.782794876456828,0.242524634122105,1,0,0,"ASH2L;HCFC1;HDAC1;HDAC2;HSPA4;HSPA5;HSPA8;OGT;RBBP4;RBBP7;SAP30;SETD1A;SIN3A;SIN3B;SP1;SUDS3;WDR5;HSP90AA1;HSP90AB1"
614,"NRD complex (Nucleosome remodeling and deacetylation complex)",0.761928678375309,0.386081093188525,0.782794876456828,0.253466899963601,1,0,0,"KDM1A;CHD3;CHD4;HDAC1;HDAC2;MTA1;RBBP4"
