Complex.id	Complex.name
15	NCOR complex
41	Mi-2/NuRD-MTA2 complex
49	DNMT3B complex
58	SMRT complex
61	Mi2/NuRD complex
62	MeCP1 complex
75	TSC1-TSC2 complex
86	NUMAC complex (nucleosomal methylation activator complex)
149	PBAF complex (Polybromo- and BAF containing complex)
189	BAF complex
223	CAND1-CUL4A-RBX1 complex
238	SWI-SNF chromatin remodeling-related-BRCA1 complex
282	SNF2h-cohesin-NuRD complex
351	Spliceosome
391	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)
555	BAF complex
564	BAF complex
566	BAF complex
570	p300-CBP-p270-SWI/SNF complex
571	p300-CBP-p270 complex
585	Mi2/NuRD-BCL6-MTA3 complex
587	NuRD.1 complex
614	NRD complex (Nucleosome remodeling and deacetylation complex)
632	Anti-HDAC2 complex
659	MeCP1 complex
685	MeCP1 complex
710	Brg1-associated complex I
711	Brm-associated complex
713	BRG1-SIN3A complex
714	BRM-SIN3A complex
725	P2X7 receptor signalling complex
726	DDB2 complex
727	CSA complex
728	CSA-POLIIa complex
739	SIN3-ING1b complex II
741	NCOR-HDAC3 complex
752	SMRT core complex
778	LARC complex (LCR-associated remodeling complex)
803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I
806	BRM-SIN3A-HDAC complex
807	BRG1-associated complex
808	BRM-associated complex
886	MTA1 complex
888	MTA2 complex
889	MTA1-HDAC core complex
929	CEN complex
1041	Alpha-dystrobrevin-ZO-1-actin complex
1134	ATR-HDAC2-CHD4 complex
1162	Ubiquitin E3 ligase (DDB1, DDB2, CUL4A, CUL4B, RBX1)
1166	p400-associated complex
1181	C complex spliceosome
1188	SMRT core complex
1214	Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)
1230	WINAC complex
1237	BAF complex
1251	BAF complex
1252	EBAFa complex
1256	MLL-HCF complex
1257	ALL-1 supercomplex
1287	HNRPF-HNRPH1 complex
1288	DCS complex (PTBP1, PTBP2, HNRPH1, HNRPF)
1401	MOF complex
1413	NCOR1 complex
1495	PID complex
1505	NCOR2 complex
1729	TLE1 corepressor complex (MASH1 promoter-corepressor complex)
2171	Ubiquitin E3 ligase (CHEK1, CUL4A)
2172	Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)
2183	Kaiso-NCOR complex
2254	CTGF/Hcs24-actin complex
2255	Cofilin-actin-CAP1 complex
2300	Profilin 2 complex
2649	MYC-DNMT3A-ZBTB17 complex
2650	DNMT3B-DNMT3L complex
2651	DNMT3L-DNMT3A
2657	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex
2722	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)
2937	PTF1-bHLH complex
2966	NuMA-LGN-G-alpha-i-1 complex
3063	Brg1-associated complex II
3917	Ternary complex (GATA4, SRF, MYOCD)
5253	MNK1-eIF4F complex
5386	MLL1-WDR5 complex
5426	ANCO1-HDAC3  complex
5604	Emerin complex 1
5606	Emerin-actin-NMI-(alphaII)spectrin complex
5607	Emerin-actin-NMI complex
5608	Emerin architectural complex
5609	Emerin regulatory complex
5611	Emerin complex 24
5613	Emerin complex 25
5614	Emerin complex 32
5615	Emerin complex 52
5695	TIP5-DNMT-HDAC1 complex
5736	Pre-initiation complex (PIC)
