Interactor1	Interactor2	geneName1	geneName2	Complex.name	Complex.id
P57740	Q8WUM0	NUP107	NUP133	Nup 107-160 subcomplex	87
P57740	Q12769	NUP107	NUP160	Nup 107-160 subcomplex	87
P57740	Q8NFH4	NUP107	NUP37	Nup 107-160 subcomplex	87
P57740	Q8NFH3	NUP107	NUP43	Nup 107-160 subcomplex	87
P57740	Q9BW27	NUP107	NA	Nup 107-160 subcomplex	87
P57740	P52948	NUP107	NUP98	Nup 107-160 subcomplex	87
P57740	P55735	NUP107	SEC13	Nup 107-160 subcomplex	87
P57740	Q96EE3	NUP107	SEH1L	Nup 107-160 subcomplex	87
Q8WUM0	Q12769	NUP133	NUP160	Nup 107-160 subcomplex	87
Q8WUM0	Q8NFH4	NUP133	NUP37	Nup 107-160 subcomplex	87
Q8WUM0	Q8NFH3	NUP133	NUP43	Nup 107-160 subcomplex	87
Q8WUM0	Q9BW27	NUP133	NA	Nup 107-160 subcomplex	87
Q8WUM0	P52948	NUP133	NUP98	Nup 107-160 subcomplex	87
Q8WUM0	P55735	NUP133	SEC13	Nup 107-160 subcomplex	87
Q8WUM0	Q96EE3	NUP133	SEH1L	Nup 107-160 subcomplex	87
Q12769	Q8NFH4	NUP160	NUP37	Nup 107-160 subcomplex	87
Q12769	Q8NFH3	NUP160	NUP43	Nup 107-160 subcomplex	87
Q12769	Q9BW27	NUP160	NA	Nup 107-160 subcomplex	87
Q12769	P52948	NUP160	NUP98	Nup 107-160 subcomplex	87
Q12769	P55735	NUP160	SEC13	Nup 107-160 subcomplex	87
Q12769	Q96EE3	NUP160	SEH1L	Nup 107-160 subcomplex	87
Q8NFH4	Q8NFH3	NUP37	NUP43	Nup 107-160 subcomplex	87
Q8NFH4	Q9BW27	NUP37	NA	Nup 107-160 subcomplex	87
Q8NFH4	P52948	NUP37	NUP98	Nup 107-160 subcomplex	87
Q8NFH4	P55735	NUP37	SEC13	Nup 107-160 subcomplex	87
Q8NFH4	Q96EE3	NUP37	SEH1L	Nup 107-160 subcomplex	87
Q8NFH3	Q9BW27	NUP43	NA	Nup 107-160 subcomplex	87
Q8NFH3	P52948	NUP43	NUP98	Nup 107-160 subcomplex	87
Q8NFH3	P55735	NUP43	SEC13	Nup 107-160 subcomplex	87
Q8NFH3	Q96EE3	NUP43	SEH1L	Nup 107-160 subcomplex	87
Q9BW27	P52948	NA	NUP98	Nup 107-160 subcomplex	87
Q9BW27	P55735	NA	SEC13	Nup 107-160 subcomplex	87
Q9BW27	Q96EE3	NA	SEH1L	Nup 107-160 subcomplex	87
P52948	P55735	NUP98	SEC13	Nup 107-160 subcomplex	87
P52948	Q96EE3	NUP98	SEH1L	Nup 107-160 subcomplex	87
P55735	Q96EE3	SEC13	SEH1L	Nup 107-160 subcomplex	87
Q9UIG0	O60264	BAZ1B	SMARCA5	WICH complex	236
P04406	P09429	GAPDH	HMGB1	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P04406	P26583	GAPDH	NA	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P04406	P11142	GAPDH	HSPA8	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P04406	P30101	GAPDH	PDIA3	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P09429	P26583	HMGB1	NA	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P09429	P11142	HMGB1	HSPA8	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P09429	P30101	HMGB1	PDIA3	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P26583	P11142	NA	HSPA8	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P26583	P30101	NA	PDIA3	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P11142	P30101	HSPA8	PDIA3	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P09631	Q60954	-	-	Hoxa9-PBX2-Meis1 complex	662
P09631	P40425	-	PBX2	Hoxa9-PBX2-Meis1 complex	662
