UniProt	GeneSymbol	GATA4_expanded	TBX5_expanded	NKX25_expanded
Q9UBC3	DNMT3B	1	1	0
Q13547	HDAC1	1	1	0
O95239	KIF4A	1	1	0
Q96ST3	SIN3A	1	1	0
O60264	SMARCA5	1	1	0
O95347	SMC2	1	1	0
P57740	NUP107	1	1	0
Q8WUM0	NUP133	1	1	0
Q12769	NUP160	1	1	0
Q8NFH4	NUP37	1	1	0
Q8NFH3	NUP43	1	1	0
Q9BW27	NA	1	1	0
P52948	NUP98	1	1	0
P55735	SEC13	1	1	0
Q9NRL2	NA	1	1	0
Q12830	BPTF	1	1	0
Q09028	RBBP4	1	1	0
Q16576	RBBP7	1	1	0
P18074	ERCC2	1	1	0
P19447	ERCC3	1	1	0
Q00403	GTF2B	1	1	0
P29083	NA	1	1	0
P29084	NA	1	1	0
P35269	GTF2F1	1	1	0
P13984	GTF2F2	1	1	0
P32780	NA	1	1	0
Q13888	NA	1	1	0
Q13889	NA	1	1	0
Q92759	GTF2H4	1	1	0
P24928	POLR2A	1	1	0
P30876	POLR2B	1	1	0
P19387	POLR2C	1	1	0
O15514	POLR2D	1	1	0
P19388	POLR2E	1	1	0
P61218	POLR2F	1	1	0
P62487	POLR2G	1	1	0
P52434	POLR2H	1	1	0
P36954	POLR2I	1	1	0
P52435	POLR2J	1	1	0
P53803	POLR2K	1	1	0
P62875	POLR2L	1	1	0
P35226	NA	1	1	0
Q14781	NA	1	1	0
O00257	CBX4	1	1	0
Q9HC52	NA	1	1	0
P08107	HSPA1A; HSPA1B	1	1	0
P78364	PHC1	1	1	0
Q8IXK0	NA	1	1	0
Q8NDX5	NA	1	1	0
Q06587	RING1	1	1	0
Q99496	RNF2	1	1	0
Q96GD3	NA	1	1	0
P24863	CCNC	1	1	0
P49336	CDK8	1	1	0
Q15648	MED1	1	1	0
O60244	MED14	1	1	0
Q13503	MED21	1	1	0
O75448	MED24	1	1	0
Q9Y3C7	MED31	1	1	0
Q9BTT4	MED10	1	1	0
Q93074	MED12	1	1	0
Q9UHV7	MED13	1	1	0
Q9Y2X0	MED16	1	1	0
Q9NVC6	MED17	1	1	0
Q9H944	MED20	1	1	0
Q6P2C8	MED27	1	1	0
Q9NPJ6	MED4	1	1	0
O75586	MED6	1	1	0
O43513	MED7	1	1	0
Q9NRG0	NA	1	1	0
Q9NRF9	NA	1	1	0
Q9UIG0	BAZ1B	1	1	0
P04406	GAPDH	1	1	0
P09429	HMGB1	1	1	0
P26583	NA	1	1	0
P11142	HSPA8	1	1	0
Q12873	CHD3	1	1	0
Q92769	HDAC2	1	1	0
Q9UBB5	MBD2	1	1	0
O95983	MBD3	1	1	0
Q13330	MTA1	1	1	0
O94776	MTA2	1	1	0
O60216	RAD21	1	1	0
Q14683	SMC1A	1	1	0
Q9UQE7	SMC3	1	1	0
Q8WVM7	STAG1	1	1	0
P62861	FAU	1	1	0
P46783	RPS10	1	1	0
P62280	RPS11	1	1	0
P25398	RPS12	1	1	0
P62277	RPS13	1	1	0
P62263	RPS14	1	1	0
P62841	RPS15	1	1	0
P62244	RPS15A	1	1	0
P62249	RPS16	1	1	0
P08708	RPS17	1	1	0
P62269	RPS18	1	1	0
P39019	RPS19	1	1	0
P15880	RPS2	1	1	0
P60866	RPS20	1	1	0
P63220	RPS21	1	1	0
P62266	RPS23	1	1	0
P62847	RPS24	1	1	0
P62851	RPS25	1	1	0
P62854	RPS26	1	1	0
P42677	RPS27	1	1	0
P62979	RPS27A	1	1	0
P62857	RPS28	1	1	0
P62273	RPS29	1	1	0
P23396	RPS3	1	1	0
P61247	RPS3A	1	1	0
P62701	RPS4X	1	1	0
P46782	RPS5	1	1	0
P62753	RPS6	1	1	0
P62081	RPS7	1	1	0
P62241	RPS8	1	1	0
P46781	RPS9	1	1	0
P08865	RPSA	1	1	0
P22090	RPS4Y1	1	1	0
P27635	RPL10	1	1	0
P62906	RPL10A	1	1	0
P62913	RPL11	1	1	0
