Bait	Prey_proteinname	X.Rep	AvgP	BFDR	Prey_genename
GATA4	O60264	3	0.9895	8e-04	SMARCA5
GATA4	P07437	3	0.8495	0.0224	TUBB
GATA4	P11142	3	0.9999	0	HSPA8
GATA4	P28370	3	1	0	SMARCA1
GATA4	P31943	3	0.9995	0	HNRNPH1
GATA4	P40424	3	1	0	PBX1
GATA4	P61513	3	0.9665	0.0036	RPL37A
GATA4	P62266	3	0.9965	4e-04	RPS23
GATA4	P62308	3	1	0	SNRPG
GATA4	P62805	3	0.7788	0.0326	HIST1H4H; HIST1H4B; HIST1H4E; HIST4H4; HIST1H4I; HIST1H4F; HIST1H4A; HIST1H4D; HIST1H4K; HIST2H4A; HIST1H4C; HIST2H4B; HIST1H4L; HIST1H4J
GATA4	P68363	3	0.9385	0.0087	TUBA1B
GATA4	Q01844	3	0.8334	0.0235	EWSR1
GATA4	Q13263	3	0.9757	0.0023	TRIM28
GATA4	Q15365	3	0.9165	0.0107	PCBP1
GATA4	Q5VTE0	3	0.7592	0.0348	EEF1A1P5
GATA4	Q86YP4	3	0.9835	0.0017	GATAD2A
GATA4	Q8IVW6	3	1	0	ARID3B
GATA4	Q96Q89	3	0.9936	4e-04	KIF20B
GATA4	Q96T37	3	0.92	0.0103	RBM15
GATA4	Q9BY77	3	0.9989	1e-04	POLDIP3
GATA4	Q9H2P0	3	0.8886	0.0155	ADNP
GATA4	Q9H444	3	0.9841	0.0014	CHMP4B
GATA4	Q9Y3Y2	3	1	0	CHTOP
NKX25	Q8IVW6	3	0.9097	0.0491	ARID3B
NKX25	Q96Q89	3	0.9307	0.0218	KIF20B
NKX25	Q99856	3	0.9994	0	ARID3A
NKX25	Q9BY77	3	0.9574	0.0114	POLDIP3
TBX5	O60264	3	0.9867	0.0036	SMARCA5
TBX5	P07437	3	0.8604	0.0455	TUBB
TBX5	P11142	3	0.8698	0.043	HSPA8
TBX5	P28370	3	0.9916	0.0021	SMARCA1
TBX5	P31943	3	0.9064	0.0241	HNRNPH1
TBX5	P40424	3	1	0	PBX1
TBX5	P61513	3	0.8805	0.0382	RPL37A
TBX5	P62266	3	0.8635	0.0442	RPS23
TBX5	P62308	3	0.9964	0.001	SNRPG
TBX5	P62805	3	0.9853	0.0043	HIST1H4H; HIST1H4B; HIST1H4E; HIST4H4; HIST1H4I; HIST1H4F; HIST1H4A; HIST1H4D; HIST1H4K; HIST2H4A; HIST1H4C; HIST2H4B; HIST1H4L; HIST1H4J
TBX5	P68363	3	0.8796	0.0394	TUBA1B
TBX5	Q01844	3	0.9512	0.0115	EWSR1
TBX5	Q13263	3	0.9736	0.0068	TRIM28
TBX5	Q15365	3	0.9808	0.0057	PCBP1
TBX5	Q5VTE0	3	0.9973	8e-04	EEF1A1P5
TBX5	Q86YP4	3	0.9796	0.0064	GATAD2A
TBX5	Q96Q89	3	0.8877	0.0305	KIF20B
TBX5	Q96T37	3	0.934	0.0143	RBM15
TBX5	Q99856	3	0.9999	0	ARID3A
TBX5	Q9BY77	3	0.9817	0.0049	POLDIP3
TBX5	Q9H2P0	3	0.988	0.0026	ADNP
TBX5	Q9H444	3	0.9988	2e-04	CHMP4B
TBX5	Q9Y3Y2	3	0.9257	0.0154	CHTOP
