Complex.id	Complex.name
4	Multisubunit ACTR coactivator complex
15	NCOR complex
27	Arp2/3 protein complex
41	Mi-2/NuRD-MTA2 complex
49	DNMT3B complex
54	SIN3 complex
58	SMRT complex
61	Mi2/NuRD complex
62	MeCP1 complex
66	TRAP complex
71	MRN complex (MRE11-RAD50-NBS1 complex)
72	R/M complex (RAD50-MRE11 complex)
73	MRN complex (MRE11-RAD50-NBN complex)
75	TSC1-TSC2 complex
86	NUMAC complex (nucleosomal methylation activator complex)
87	Nup 107-160 subcomplex
94	ATP-utilizing chromatin assembly and remodeling factor (hACF) complex
95	Ku antigen-NARG1 complex
98	p300-MDM2-p53 protein complex
100	hNURF complex
103	RNA polymerase II holoenzyme complex
104	RNA polymerase II core complex
105	Polycomb repressive complex 2 (PRC 2)
115	Polycomb repressive complex 1 (PRC1, hPRC-H)
116	Polycomb repressive complex 1 (PRC1, hPRC-H)
123	Rnase/Mrp complex
149	PBAF complex (Polybromo- and BAF containing complex)
173	MRN complex (MRE11-RAD50-NBN complex)
177	OGT-TRAK1-TRAK2 complex
189	BAF complex
202	BRCA1-RAD50-MRE11-NBS1 complex
205	Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)
207	Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)
208	Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)
209	Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)
210	Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)
211	Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)
214	Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)
223	CAND1-CUL4A-RBX1 complex
234	HuCHRAC complex
236	WICH complex
238	SWI-SNF chromatin remodeling-related-BRCA1 complex
263	R/M complex (RAD50-MRE11 complex)
264	R/M complex (RAD50-MRE11 complex)
280	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex
282	SNF2h-cohesin-NuRD complex
283	Sin3 complex
286	PCNA-MSH2-MSH6 complex
289	PCNA-MSH2-MSH6 complex
290	MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex
291	MSH2-MLH1-PMS2 DNA-repair initiation complex
300	PC2 complex
301	SMCC complex
302	INO80 chromatin remodeling complex
304	SRCAP-associated chromatin remodeling complex
305	40S ribosomal subunit, cytoplasmic
306	Ribosome, cytoplasmic
322	DNA-PK-Ku complex
328	Ku antigen complex
331	MRN complex (MRE11-RAD50-NBN complex)
338	40S ribosomal subunit, cytoplasmic
351	Spliceosome
355	DNA-PK-Ku antigen complex
356	DNA-PK-Ku antigen complex
357	DNA-PK-Ku antigen complex
360	Artemis-DNA-PK complex
361	Artemis-DNA-PK complex
368	ERCC1-ERCC4-MSH2 complex
369	MSH2-MSH6-PMS2-MLH1 complex
370	MSH2-MSH6-PMS1-MLH1 complex
374	MSH2-MSH6 complex
375	MSH2-MSH3 complex
376	PCNA-MutS-alpha-MutL-alpha-DNA complex
377	PCNA-MutS-alpha-DNA initial complex
378	MutS-beta complex
391	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)
425	MSH4-MSH5-GPS2 complex
430	18S U11/U12 snRNP
431	MSH2-MSH6-PMS2-MLH1 complex
433	BASC complex (BRCA1-associated genome surveillance complex)
434	BASC (Ab 80) complex (BRCA1-associated genome surveillance complex)
436	BASC (Ab C-20) complex (BRCA1-associated genome surveillance complex)
438	GCN5-TRRAP histone acetyltransferase complex
471	PCAF complex
477	PCAF complex
509	TFIID complex
522	Polycystin-1-E-cadherin-beta-catenin-Flotillin-2 complex
525	TIP60 histone acetylase complex
528	NuA4/Tip60 HAT complex
529	NuA4/Tip60 HAT complex
535	TRAP complex
547	SMCC complex
551	TDT-TDIF2-core-histone complex
554	PBAF complex (Polybromo- and BAF containing complex)
555	BAF complex
556	PBAF complex (Polybromo- and BAF containing complex)
564	BAF complex
565	PBAF complex (Polybromo- and BAF containing complex)
566	BAF complex
570	p300-CBP-p270-SWI/SNF complex
571	p300-CBP-p270 complex
585	Mi2/NuRD-BCL6-MTA3 complex
587	NuRD.1 complex
591	SAP complex (Sin3-associated protein complex)
592	SAP complex (Sin3-associated protein complex)
596	SIN3-HDAC-SAP30-ARID4 complex
614	NRD complex (Nucleosome remodeling and deacetylation complex)
618	MRN complex (MRE11-RAD50-NBN complex)
619	MRE11A-RAD50-NBN-TRF2 complex
620	CoREST-HDAC complex
622	Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2)
624	LSD1-CoREST complex
626	LSD1 complex
627	MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex)
632	Anti-HDAC2 complex
633	anti-BHC110 complex
634	XFIM complex
636	BHC complex
642	CtBP complex
643	CtBP core complex
646	HDAC1-associated protein complex
648	HDAC1-associated core complex cI
649	HDAC1-associated core complex cII
650	HDAC2-asscociated core complex
659	MeCP1 complex
660	TIM (TIMM23, TIMM50) complex, mitochondrial
685	MeCP1 complex
691	SIN3-SAP25 complex
695	SIN3-HDAC-SAP30-ARID4 complex
