method_vec	DNV_vec	LoF_vec
FCA_FDR0.05_KOfiltY	0.0464090774215869	0.826845357851847
FCB_FDR0.05_KOfiltY	0.0992581270813719	0.420473445642674
original_KOfiltY	0.11539173861542	0.545184623733511
FCA_FDR0.05_KOfiltY	0.00214641201555725	0.41354868052271
FCA_FDR0.05_KOfiltY	0.00110979205881579	0.291510450536381
FCA_FDR0.05_KOfiltY	0.00254694139183219	0.306802396402854
FCA_FDR0.05_KOfiltY	0.0151285819357836	0.931596613895851
FCA_FDR0.05_KOfiltY	0.0851018129366863	0.122278913900224
FCA_FDR0.05_KOfiltY	0.27294238777361	0.487178805139814
FCA_FDR0.05_KOfiltN	0.0464090774215869	0.826845357851847
FCB_FDR0.05_KOfiltN	0.0992581270813719	0.420473445642674
original_KOfiltN	0.11539173861542	0.545184623733511
FCA_FDR0.05_KOfiltN	0.00214641201555725	0.41354868052271
FCA_FDR0.05_KOfiltN	0.00110979205881579	0.291510450536381
FCA_FDR0.05_KOfiltN	0.00254694139183219	0.306802396402854
FCA_FDR0.05_KOfiltN	0.0151285819357836	0.931596613895851
FCA_FDR0.05_KOfiltN	0.0851018129366863	0.122278913900224
FCA_FDR0.05_KOfiltN	0.27294238777361	0.487178805139814
FCA_FDR0.1_KOfiltY	0.311996027404783	0.944607558875237
FCB_FDR0.1_KOfiltY	0.56157810270024	0.63279787675103
original_KOfiltY	0.11539173861542	0.545184623733511
FCA_FDR0.1_KOfiltY	0.00194064028544736	0.833895621608368
FCA_FDR0.1_KOfiltY	0.00228851231316152	0.338700505744933
FCA_FDR0.1_KOfiltY	0.00093558917224001	0.252530247616176
FCA_FDR0.1_KOfiltY	0.0151285819357836	0.931596613895851
FCA_FDR0.1_KOfiltY	0.0138850746367101	0.291907875803713
FCA_FDR0.1_KOfiltY	0.0551733633542572	0.643214429233439
FCA_FDR0.1_KOfiltN	0.311996027404783	0.944607558875237
FCB_FDR0.1_KOfiltN	0.56157810270024	0.63279787675103
original_KOfiltN	0.11539173861542	0.545184623733511
FCA_FDR0.1_KOfiltN	0.00194064028544736	0.833895621608368
FCA_FDR0.1_KOfiltN	0.00228851231316152	0.338700505744933
FCA_FDR0.1_KOfiltN	0.00093558917224001	0.252530247616176
FCA_FDR0.1_KOfiltN	0.0151285819357836	0.931596613895851
FCA_FDR0.1_KOfiltN	0.0138850746367101	0.291907875803713
FCA_FDR0.1_KOfiltN	0.0551733633542572	0.643214429233439
