method_vec	DNV_vec	LoF_vec
saintx_protein_FDR0.05_KOfiltY	0.157189977	0.421059284
saintx_protein_FDR0.05_KOfiltN	0.157189977	0.421059284
saintx_protein_FDR0.1_KOfiltY	0.157189977	0.287801705
saintx_protein_FDR0.1_KOfiltN	0.157189977	0.287801705
FCB_FDR0.05_KOfiltY	0.163421484	0.605695869
FCB_FDR0.05_KOfiltN	0.163421484	0.605695869
saintq_protein_FDR0.1_KOfiltY_normN	0.194630114	0.580706139
saintq_protein_FDR0.1_KOfiltN_normN	0.194630114	0.580706139
saintq_protein_FDR0.05_KOfiltY_normN	0.230276197	0.550242976
saintq_protein_FDR0.05_KOfiltN_normN	0.230276197	0.550242976
FCB_FDR0.1_KOfiltY	0.322680135	0.819899314
FCB_FDR0.1_KOfiltN	0.322680135	0.819899314
saintq_protein_FDR0.05_KOfiltY_normY	0.337417488	0.711032479
saintq_protein_FDR0.05_KOfiltN_normY	0.337417488	0.711032479
saintq_protein_FDR0.1_KOfiltY_normY	0.337417488	0.711032479
saintq_protein_FDR0.1_KOfiltN_normY	0.337417488	0.711032479
saintx_peptide_FDR0.05_KOfiltY	0.355040868	0.661511331
saintx_peptide_FDR0.05_KOfiltN	0.355040868	0.661511331
saintx_peptide_FDR0.1_KOfiltY	0.355040868	0.661511331
saintx_peptide_FDR0.1_KOfiltN	0.355040868	0.661511331
FCA_FDR0.05_KOfiltY	0.396600251	0.659057925
saintq_peptide_FDR0.05_KOfiltY_normY	0.396600251	0.012281656
FCA_FDR0.05_KOfiltN	0.396600251	0.659057925
saintq_peptide_FDR0.05_KOfiltN_normY	0.396600251	0.012281656
saintq_peptide_FDR0.1_KOfiltY_normY	0.396600251	0.415947272
saintq_peptide_FDR0.1_KOfiltN_normY	0.396600251	0.415947272
original_KOfiltY	0.527063286	0.400200684
original_KOfiltN	0.527063286	0.400200684
original_KOfiltY	0.527063286	0.400200684
original_KOfiltN	0.527063286	0.400200684
FCA_FDR0.1_KOfiltY	0.563054063	0.935875805
FCA_FDR0.1_KOfiltN	0.563054063	0.935875805
saintq_peptide_FDR0.05_KOfiltY_normN	1	1
saintq_peptide_FDR0.05_KOfiltN_normN	1	1
saintq_peptide_FDR0.1_KOfiltY_normN	1	1
saintq_peptide_FDR0.1_KOfiltN_normN	1	1
