method_vec	DNV_vec	LoF_vec
saintq_peptide_FDR0.05_KOfiltY_normY	0.040843297	0.766343927
saintq_peptide_FDR0.05_KOfiltN_normY	0.040843297	0.766343927
saintx_protein_FDR0.05_KOfiltY	0.062260871	0.835729926
saintx_protein_FDR0.05_KOfiltN	0.062260871	0.835729926
saintx_peptide_FDR0.05_KOfiltY	0.07298371	0.760544588
saintx_peptide_FDR0.05_KOfiltN	0.07298371	0.760544588
FCB_FDR0.05_KOfiltY	0.097403447	0.765257064
FCB_FDR0.05_KOfiltN	0.097403447	0.765257064
saintq_protein_FDR0.05_KOfiltY_normY	0.099695171	0.745964293
saintq_protein_FDR0.05_KOfiltN_normY	0.099695171	0.745964293
saintq_protein_FDR0.1_KOfiltY_normN	0.119642331	0.985377509
saintq_protein_FDR0.1_KOfiltN_normN	0.119642331	0.985377509
FCB_FDR0.1_KOfiltY	0.135832474	0.714443925
FCB_FDR0.1_KOfiltN	0.135832474	0.714443925
saintq_protein_FDR0.1_KOfiltY_normY	0.19359959	0.334217368
saintq_protein_FDR0.1_KOfiltN_normY	0.19359959	0.334217368
FCA_FDR0.1_KOfiltY	0.193741395	0.842894567
FCA_FDR0.1_KOfiltN	0.193741395	0.842894567
saintq_peptide_FDR0.1_KOfiltY_normY	0.205624406	0.913545373
saintq_peptide_FDR0.1_KOfiltN_normY	0.205624406	0.913545373
original_KOfiltY	0.219654748	0.761426223
original_KOfiltN	0.219654748	0.761426223
original_KOfiltY	0.219654748	0.761426223
original_KOfiltN	0.219654748	0.761426223
saintx_peptide_FDR0.1_KOfiltY	0.306334405	0.740508967
saintx_peptide_FDR0.1_KOfiltN	0.306334405	0.740508967
saintq_protein_FDR0.05_KOfiltY_normN	0.380229422	0.990683628
saintq_protein_FDR0.05_KOfiltN_normN	0.380229422	0.990683628
FCA_FDR0.05_KOfiltY	0.383118979	0.678785126
FCA_FDR0.05_KOfiltN	0.383118979	0.678785126
saintx_protein_FDR0.1_KOfiltY	0.421840969	0.287801705
saintx_protein_FDR0.1_KOfiltN	0.421840969	0.287801705
saintq_peptide_FDR0.05_KOfiltY_normN	0.690251893	0.232045954
saintq_peptide_FDR0.05_KOfiltN_normN	0.690251893	0.232045954
saintq_peptide_FDR0.1_KOfiltY_normN	0.690251893	0.232045954
saintq_peptide_FDR0.1_KOfiltN_normN	0.690251893	0.232045954
