uidA,uidB,aliasA,aliasB,interactionType
Q86VP6,A0A090N7U0,CAND1,CUL1,MI:0915(physical association)
Q86VP6,Q9BZE4,CAND1,GTPBP4,MI:0915(physical association)
Q86VP6,O15371,CAND1,EIF3D,MI:0915(physical association)
Q86VP6,O00541,CAND1,PES1,MI:0915(physical association)
Q9UJX0,Q8TBB1,OSGIN1,LNX1,MI:0407(direct interaction)
Q86VP6,P13639,CAND1,EEF2,MI:0915(physical association)
Q86VP6,K7EQ55,CAND1,DAZAP1,MI:0915(physical association)
Q86VP6,A0A024R475,CAND1,CUL3,psi-mi:MI:0915(physical association)
Q9UJX0,A0A024R3C7,OSGIN1,ATM,MI:0407(direct interaction)
Q9UKU0,Q9UKU0,ACSL6,ACSL6,MI:0407(direct interaction)
Q9UKN1,A0A024R5T9,MUC12,GCNT3,psi-mi:MI:0915(physical association)
Q9UKN1,Q9HCQ5,MUC12,GALNT9,psi-mi:MI:0915(physical association)
Q96IP4,Q9UBS8,FAM46A,RNF14,-
Q9Y5S9,P46777,RBM8A,RPL5,psi-mi:MI:0915(physical association)
Q9Y5S9,P27635,RBM8A,RPL10,psi-mi:MI:0915(physical association)
P17813,Q03167,ENG,TGFBR3,-
Q16531,Q9BSJ2,DDB1,TUBGCP2,MI:0915(physical association)
O43290,O43290,SART1,SART1,MI:0407(direct interaction)
Q01955,Q01955,COL4A3,COL4A3,psi-mi:MI:0915(physical association)
Q8WWN8,Q5VST9,ARAP3,OBSCN,psi-mi:MI:0914(association)
Q8WWN8,Q9NR80,ARAP3,ARHGEF4,psi-mi:MI:0914(association)
O75665,O75665,OFD1,OFD1,MI:0915(physical association)
A0A140VJW5,Q08050,DARS,FOXM1,MI:0915(physical association)
P60953,Q9NR80,CDC42,ARHGEF4,MI:0407(direct interaction)
P35222,P14923,CTNNB1,JUP,MI:0915(physical association)
P35222,Q9GZV5,CTNNB1,WWTR1,MI:0915(physical association)
A0A024QZ23,O15067,TFE3,PFAS,psi-mi:MI:0915(physical association)
Q9UBU6,Q96E52,FAM8A1,OMA1,MI:0915(physical association)
P35222,Q16531,CTNNB1,DDB1,MI:0915(physical association)
D3DP78,P41252,DARS,IARS,MI:0403(colocalization)
P35222,O14686,CTNNB1,KMT2D,MI:0407(direct interaction)
Q16531,Q99759,DDB1,MAP3K3,MI:0915(physical association)
Q16623,Q14573,STX1A,ITPR3,psi-mi:MI:0914(association)
O95071,P35222,UBR5,CTNNB1,psi-mi:MI:0915(physical association)
P35555,O94985,FBN1,CLSTN1,psi-mi:MI:0915(physical association)
P35555,P35555,FBN1,FBN1,psi-mi:MI:0407(direct interaction)
Q9H814,Q15418,PHAX,RPS6KA1,MI:0407(direct interaction)
Q9UQ35,Q01082,SRRM2,SPTBN1,MI:0915(physical association)
Q9GZU2,Q9GZU2,PEG3,PEG3,MI:0914(association)
O15078,O15078,CEP290,CEP290,psi-mi:MI:0915(physical association)
O43719,O00267,HTATSF1,SUPT5H,-
Q9HCE1,P46531,MOV10,NOTCH1,psi-mi:MI:0914(association)
Q9BWF2,Q5VTR2,TRAIP,RNF20,MI:0915(physical association)
