Gene,BH
MARCH9,0.598114259173247
MARCH10,0.21978835978836
MARCH11,1
SEPT1,0.199917497421794
SEPT9,0.21978835978836
SEPT14,0.132821742605915
NUMBL,0.156224144415194
ZNF747,0.367001656543346
A2M,0.177965012495537
A2ML1,1
A4GNT,0.823073190456935
AAAS,0.106603934987169
AACS,1
AADAC,1
AADAT,1
AAED1,1
AAGAB,0.664344735673034
AAK1,0.00462940824865511
AAR2,0.00462940824865511
AARS,0.0787488151658768
AARS2,0.701476510067114
AASDH,1
AASS,0.132821742605915
AATF,0.132821742605915
AATK,1
ABCA1,0.00462940824865511
ABCA10,1
ABCA12,0.00462940824865511
ABCA13,0.786839612929792
ABCA2,0.690063387978142
ABCA4,0.199917497421794
ABCA5,1
ABCA6,1
ABCA7,0.774839378238342
ABCA8,1
ABCA9,1
ABCB1,0.156224144415194
ABCB10,0.0787488151658768
ABCB11,0.664344735673034
ABCB4,0.316078431372549
ABCB5,0.799991804958
ABCB6,0.712674244048896
ABCB8,0.367001656543346
ABCC10,1
ABCC11,1
ABCC12,1
ABCC2,0.448734567901235
ABCC3,0.0787488151658768
ABCC4,0.639655797101449
ABCC6,1
ABCC8,0.240656581911812
ABCC9,0.495506958250497
ABCD2,1
ABCD3,0.690063387978142
ABCE1,0.106603934987169
ABCG1,0.00462940824865511
ABCG4,0.00462940824865511
ABCG5,1
ABHD1,0.00462940824865511
ABHD10,0.725357751277683
ABHD11,1
ABHD12,1
ABHD15,0.351339159853397
ABHD16A,0.00462940824865511
ABHD16B,1
ABHD18,1
ABHD3,1
ABHD5,0.00462940824865511
ABHD6,1
ABI2,0.00462940824865511
ABI3BP,0.132821742605915
ABL2,0.00462940824865511
ABLIM3,0.00462940824865511
ABR,0.00462940824865511
ABRA,0.132821742605915
ABTB1,0.00462940824865511
ABTB2,1
ACAD10,0.316078431372549
ACAD11,1
ACAD8,0.0441679957469431
ACAD9,0.00462940824865511
ACADM,0.156224144415194
ACADS,0.260194174757282
ACADSB,0.156224144415194
ACADVL,0.367001656543346
ACAN,0.106603934987169
ACAP1,0.0787488151658768
ACAP3,0.00462940824865511
ACAT2,0.0441679957469431
ACBD3,0.00462940824865511
ACBD4,1
ACCSL,1
ACD,0.00462940824865511
ACE,0.92890545311887
ACER1,1
ACER3,0.627234042553192
ACKR1,0.00462940824865511
ACLY,0.00462940824865511
ACMSD,0.639655797101449
ACO1,0.00462940824865511
ACOT11,0.639655797101449
ACOT12,0.916022839141563
ACOT4,0.00462940824865511
ACOX1,0.351339159853397
ACOX3,0.00462940824865511
ACOXL,1
ACP1,0.21978835978836
ACP2,1
ACP5,0.156224144415194
ACPP,1
ACPT,1
ACRBP,1
ACSBG1,1
ACSBG2,1
ACSF2,0.0787488151658768
ACSF3,1
ACSL1,0.786839612929792
ACSL5,1
ACSM1,1
ACSM3,1
ACSM4,1
ACSM6,1
ACSS1,0.132821742605915
ACSS2,1
ACSS3,1
ACTA1,0.00462940824865511
ACTA2,0.0441679957469431
ACTBL2,0.0441679957469431
ACTC1,0.0441679957469431
ACTG2,0.240656581911812
ACTL7A,1
ACTR1B,0.540520481927711
ACTR5,0.240656581911812
ACTR8,0.525566909975669
ACVR1,0.0787488151658768
ACVR1B,0.333942004019523
ACYP1,1
ADA,0.106603934987169
ADAD1,1
ADAD2,1
ADAL,1
ADAM15,0.260194174757282
ADAM17,0.584521575984991
ADAM18,1
ADAM19,0.240656581911812
ADAM2,0.799991804958
ADAM28,1
ADAM30,0.677531408419661
ADAM32,1
ADAM33,0.00462940824865511
ADAM7,1
ADAM8,1
ADAM9,0.00462940824865511
ADAMDEC1,1
ADAMTS10,1
ADAMTS14,1
ADAMTS16,1
ADAMTS17,1
ADAMTS18,1
ADAMTS19,1
ADAMTS2,0.00462940824865511
ADAMTS20,1
ADAMTS3,0.21978835978836
ADAMTS4,0.27938856618771
ADAMTS5,1
ADAMTS6,1
ADAMTS8,1
ADAMTSL1,0.432933819697759
ADAMTSL3,1
ADAMTSL4,0.00462940824865511
ADAMTSL5,0.0787488151658768
ADAP2,1
ADAT1,1
ADAT2,0.00462940824865511
ADCK1,0.0787488151658768
ADCK3,1
ADCK4,1
ADCK5,1
ADCY1,0.316078431372549
ADCY10,1
ADCY3,0.495506958250497
ADCY4,0.298580413297394
ADCY6,0.351339159853397
ADCY7,0.351339159853397
ADCY9,0.333942004019523
ADD1,0.27938856618771
ADD2,0.156224144415194
ADGB,1
ADGRA1,0.725357751277683
ADGRA2,0.00462940824865511
ADGRA3,0.00462940824865511
ADGRD1,1
ADGRE1,1
ADGRE2,1
ADGRE3,1
ADGRF1,1
ADGRF2,1
ADGRF3,0.725357751277683
ADGRF4,1
ADGRF5,1
ADGRG1,1
ADGRG4,1
ADGRG5,0.21978835978836
ADGRG6,1
ADGRG7,1
ADGRL2,1
ADGRL3,1
ADGRL4,0.333942004019523
ADGRV1,1
ADH4,0.975718136311128
ADH7,0.351339159853397
ADHFE1,0.0441679957469431
ADI1,0.00462940824865511
ADIPOQ,0.00462940824865511
ADM2,0.384315646258503
ADNP2,1
ADORA3,1
ADPRH,0.0441679957469431
ADPRHL1,1
ADRA1A,0.21978835978836
ADRA1B,0.0441679957469431
ADRA1D,0.27938856618771
ADRA2B,0.56917552563194
ADRB3,0.0441679957469431
ADSL,0.0787488151658768
ADSS,0.664344735673034
ADSSL1,0.774839378238342
AEBP1,1
AEN,0.260194174757282
AFAP1,1
AFF1,1
AFM,0.750985915492958
AFMID,0.701476510067114
AFP,0.627234042553192
AFTPH,0.132821742605915
AGAP2,1
AGBL1,1
AGBL2,0.156224144415194
AGBL3,1
AGBL4,1
AGBL5,1
AGER,1
AGFG2,0.00462940824865511
AGGF1,0.177965012495537
AGL,0.106603934987169
AGMO,1
AGPAT2,0.00462940824865511
AGPAT4,0.613136531365314
AGPAT5,0.998481495612362
AGRN,0.00462940824865511
AGT,0.367001656543346
AGTPBP1,0.00462940824865511
AGTR1,0.0787488151658768
AGXT,0.0787488151658768
AGXT2,0.750985915492958
AHCYL2,1
AHI1,0.00462940824865511
AHNAK,0.00462940824865511
AHNAK2,0.0441679957469431
AHRR,0.762997286579002
AHSA2,0.106603934987169
AHSG,1
AICDA,0.712674244048896
AIFM2,1
AIFM3,0.0441679957469431
AIG1,0.260194174757282
AIM1,1
AIM1L,1
AIMP2,0.00462940824865511
AIPL1,0.00462940824865511
AK7,0.106603934987169
AK9,1
AKAP1,0.177965012495537
AKAP10,0.712674244048896
AKAP6,0.00462940824865511
AKAP7,1
AKAP8L,0.00462940824865511
AKAP9,0.00462940824865511
AKIP1,1
AKNA,0.21978835978836
AKR1E2,1
AKR7A2,0.0787488151658768
ALDH16A1,1
ALDH1A1,0.0441679957469431
ALDH3A1,1
ALDH5A1,0.351339159853397
ALDH6A1,0.106603934987169
ALDH7A1,1
ALDH8A1,1
ALDOA,0.00462940824865511
ALDOC,0.00462940824865511
ALG1,0.799991804958
ALG12,0.132821742605915
ALG8,0.479628514056225
ALG9,0.367001656543346
ALK,0.0441679957469431
ALKBH1,0.677531408419661
ALKBH2,0.316078431372549
ALKBH3,0.0787488151658768
ALKBH4,0.177965012495537
ALKBH8,1
ALMS1,0.00462940824865511
ALOX15,1
ALOX5,0.27938856618771
ALPI,0.0441679957469431
ALPK1,1
ALPK2,1
ALPK3,1
ALS2,0.00462940824865511
ALS2CL,0.525566909975669
ALS2CR11,1
ALS2CR12,0.00462940824865511
ALX3,0.316078431372549
AMACR,0.8752216259193
AMBN,1
AMDHD2,CEMP1
1,
AMER1,0.00462940824865511
AMER2,0.00462940824865511
AMER3,0.00462940824865511
AMH,0.511324470704087
AMIGO2,0.850307043949428
AMN,0.21978835978836
AMN1,1
AMOTL2,0.0787488151658768
AMPD1,0.00462940824865511
AMPD3,0.0441679957469431
AMT,1
ANAPC13,1
ANAPC7,0.786839612929792
ANGEL1,0.384315646258503
ANGEL2,1
ANGPT2,1
ANGPT4,1
ANGPTL4,0.00462940824865511
ANGPTL6,1
ANGPTL7,1
ANK2,0.240656581911812
ANK3,0.00462940824865511
ANKAR,1
ANKDD1A,1
ANKEF1,1
ANKFN1,1
ANKH,1
ANKHD1,1
ANKK1,1
ANKLE1,1
ANKMY1,1
ANKMY1,DUSP28
1,
ANKMY2,0.333942004019523
ANKRA2,0.298580413297394
ANKRD1,0.00462940824865511
ANKRD10,0.00462940824865511
ANKRD13A,0.432933819697759
ANKRD16,1
ANKRD22,1
ANKRD23,0.384315646258503
ANKRD24,1
ANKRD26,0.664344735673034
ANKRD27,0.0787488151658768
ANKRD31,1
ANKRD33,1
ANKRD34A,0.156224144415194
ANKRD34B,1
ANKRD35,1
ANKRD37,1
ANKRD39,0.762997286579002
ANKRD50,0.106603934987169
ANKRD53,0.479628514056225
ANKRD55,0.177965012495537
ANKRD6,0.725357751277683
ANKRD60,1
ANKRD65,1
ANKRD7,1
ANKS3,0.132821742605915
ANKS6,0.21978835978836
ANKUB1,1
ANKZF1,1
ANO10,1
ANO3,0.316078431372549
ANO4,1
ANO5,1
ANO6,1
ANO7,1
ANO9,0.00462940824865511
ANP32A,0.0787488151658768
ANPEP,0.613136531365314
ANTXR1,0.0441679957469431
ANTXR2,0.00462940824865511
ANXA10,1
ANXA11,0.613136531365314
ANXA3,0.00462940824865511
ANXA4,0.177965012495537
ANXA5,0.333942004019523
ANXA6,0.00462940824865511
ANXA9,1
AOAH,0.651534842034506
AOC1,1
AOC2,1
AOX1,0.0441679957469431
AP1G2,0.21978835978836
AP1S3,1
AP3B2,1
AP3M1,0.333942004019523
AP3S2,1
AP3S2,C15orf38-AP3S2
1,
AP4B1,0.00462940824865511
AP4E1,0.903757911392405
AP5B1,0.316078431372549
AP5Z1,0.298580413297394
APAF1,0.00462940824865511
APBA1,1
APBB2,0.432933819697759
APC,0.00462940824865511
APCDD1,0.00462940824865511
APCDD1L,1
APCS,0.00462940824865511
APEH,0.448734567901235
APEX1,0.00462940824865511
APH1B,1
APIP,0.00462940824865511
APLF,0.00462940824865511
APMAP,0.690063387978142
APOA1BP,1
APOA2,0.00462940824865511
APOB,0.00462940824865511
APOBEC2,0.298580413297394
APOBEC4,1
APOBR,1
APOC1,0.333942004019523
APOC4,1
APOD,0.333942004019523
APOE,0.156224144415194
APOF,0.511324470704087
APOH,0.712674244048896
APOL3,0.00462940824865511
APOL6,1
APOO,1
APOPT1,0.00462940824865511
APPL1,0.511324470704087
APPL2,0.00462940824865511
APRT,0.240656581911812
AQP5,0.690063387978142
AQP9,1
ARAP1,0.156224144415194
ARAP2,0.00462940824865511
ARAP3,0.106603934987169
ARFGAP3,0.448734567901235
ARFGEF1,0.351339159853397
ARFGEF2,0.132821742605915
ARFGEF3,0.132821742605915
ARFRP1,0.00462940824865511
ARG1,0.862824046335131
ARGFX,1
ARHGAP10,0.00462940824865511
ARHGAP11A,0.00462940824865511
ARHGAP15,0.0441679957469431
ARHGAP19,0.00462940824865511
ARHGAP24,0.00462940824865511
ARHGAP28,1
ARHGAP29,0.0787488151658768
ARHGAP31,0.00462940824865511
ARHGAP32,0.00462940824865511
ARHGAP39,0.00462940824865511
ARHGAP40,1
ARHGAP8,PRR5-ARHGAP8
1,
ARHGAP8,0.00462940824865511
ARHGAP9,0.333942004019523
ARHGEF10,1
ARHGEF11,0.0787488151658768
ARHGEF12,0.00462940824865511
ARHGEF15,0.0441679957469431
ARHGEF16,0.298580413297394
ARHGEF18,0.00462940824865511
ARHGEF19,0.786839612929792
ARHGEF28,0.00462940824865511
ARHGEF37,1
ARHGEF38,1
ARHGEF39,0.56917552563194
ARHGEF40,0.598114259173247
ARHGEF6,0.00462940824865511
ARID3C,1
ARIH2OS,1
ARL10,1
ARL14,0.701476510067114
ARL2,0.00462940824865511
ARL2BP,0.00462940824865511
ARL5B,0.177965012495537
ARL5C,1
ARL6,0.00462940824865511
ARL6IP1,0.00462940824865511
ARL6IP4,0.81202199144777
ARL6IP5,0.525566909975669
ARMC12,1
ARMC2,1
ARMC3,1
ARMC4,1
ARMC6,0.156224144415194
ARMC9,1
ARMT1,0.298580413297394
ARPC4-TTLL3,TTLL3
1,
ARPIN,C15orf38-AP3S2
1,
ARPP21,1
ARRDC2,1
ARRDC5,1
ARSA,0.316078431372549
ARSB,0.598114259173247
ARSD,0.416605964634468
ARSJ,1
ARSK,0.400064205457464
ART3,1
ART5,1
ARV1,0.177965012495537
AS3MT,1
ASAP1,0.0441679957469431
ASAP3,0.00462940824865511
ASB1,1
ASB10,1
