uidA,uidB,aliasA,aliasB,interactionType
Q5HYI7,P34810,MTX3,CD68,MI:0915(physical association)
P00533,Q9UNE7,EGFR,STUB1,psi-mi:MI:0915(physical association)
P05090,P02652,APOD,APOA2,-
Q5S007,O14640,LRRK2,DVL1,MI:0915(physical association)
Q9UKM7,A0A024R931,MAN1B1,EDEM3,psi-mi:MI:0914(association)
Q9NZM3,P00533,ITSN2,EGFR,MI:0407(direct interaction)
O43187,Q9HCE7,IRAK2,SMURF1,-
Q9P209,Q86W54,CEP72,SPATA24,MI:0407(direct interaction)
A0A140VJI3,A1L0T0,DPEP1,ILVBL,MI:0915(physical association)
A0A140VJI3,O94919,DPEP1,ENDOD1,MI:0915(physical association)
Q16526,O15534,CRY1,PER1,psi-mi:MI:0915(physical association)
Q9Y2K6,Q8N7W2,USP20,BEND7,psi-mi:MI:0915(physical association)
A0A140VJI3,P78348,DPEP1,ASIC1,MI:0915(physical association)
Q13415,Q7L590,ORC1,MCM10,psi-mi:MI:0915(physical association)
O60318,Q9NYQ7,MCM3AP,CELSR3,MI:0915(physical association)
P57740,Q8WUM0,NUP107,NUP133,MI:0915(physical association)
Q9BUB7,Q9BQ95,TMEM70,ECSIT,MI:0915(physical association)
Q9BUB7,Q9C002,TMEM70,C15orf48,MI:0915(physical association)
Q14232,Q14232,EIF2B1,EIF2B1,-
Q8N6L0,Q6N075,CCDC155,MFSD5,psi-mi:MI:0915(physical association)
Q9BUB7,Q9NRW4,TMEM70,DUSP22,MI:0915(physical association)
Q9H4B7,Q9Y5X9,TUBB1,LIPG,MI:0915(physical association)
B2CQT6,Q05823,SLC15A1,RNASEL,MI:0915(physical association)
Q969Z0,Q96FM1,TBRG4,PGAP3,MI:0915(physical association)
Q9BUB7,Q13472,TMEM70,TOP3A,MI:0915(physical association)
Q9NX02,P59047,NLRP2,NLRP5,MI:0915(physical association)
A0A024R8F1,Q9HC29,CARD9,NOD2,psi-mi:MI:0915(physical association)
A0A024R8F1,Q92878,CARD9,RAD50,psi-mi:MI:0915(physical association)
A0A0S2Z5U7,Q9UHB6,DIABLO,LIMA1,MI:0915(physical association)
Q9NX02,A0A024R1X5,NLRP2,BECN1,MI:0915(physical association)
Q9UJX0,Q8TBB1,OSGIN1,LNX1,MI:0407(direct interaction)
Q9H6T3,P07900,RPAP3,HSP90AA1,MI:0407(direct interaction)
P62736,P02774,ACTA2,GC,-
O60266,P35346,ADCY3,SSTR5,psi-mi:MI:0914(association)
P00533,Q13094,EGFR,LCP2,MI:0407(direct interaction)
Q8IWX7,Q8NI51,UNC45B,CTCFL,MI:0915(physical association)
Q13415,O43913,ORC1,ORC5,-
Q92966,Q16533,SNAPC3,SNAPC1,MI:0915(physical association)
Q9NY99,O60941,SNTG2,DTNB,-
P11245,O95243,NAT2,MBD4,MI:0915(physical association)
P24298,O00311,GPT,CDC7,MI:0915(physical association)
O14640,Q92997,DVL1,DVL3,psi-mi:MI:0407(direct interaction)
Q5T751,Q96HA8,LCE1C,WDYHV1,MI:0915(physical association)
O94804,O94804,STK10,STK10,-
