Gene,BH
MARCH9,0.530300272975432
MARCH10,0.082643221781055
MARCH11,1
SEPT1,0.238461538461538
SEPT9,0.783333333333333
SEPT14,0.082643221781055
NUMBL,0.588517022504328
ZNF747,0.359499471272471
A2M,0.082643221781055
A2ML1,1
A4GNT,0.576142355008787
AAAS,0.141250605913718
AACS,1
AADAC,1
AADAT,1
AAED1,1
AAGAB,0.281818181818182
AAK1,0.0471521035598705
AAR2,0.0471521035598705
AARS,0.0471521035598705
AARS2,0.630119977678571
AASDH,1
AASS,0.082643221781055
AATF,0.0471521035598705
AATK,1
ABCA1,0.0471521035598705
ABCA10,1
ABCA12,0.0471521035598705
ABCA13,0.723360334465639
ABCA2,0.576142355008787
ABCA4,0.113179699637494
ABCA5,1
ABCA6,1
ABCA7,0.630119977678571
ABCA8,1
ABCA9,1
ABCB1,0.141250605913718
ABCB10,0.0471521035598705
ABCB11,0.588517022504328
ABCB4,0.915909090909091
ABCB5,0.644333886124931
ABCB6,0.602581289218483
ABCB8,0.169339841933984
ABCC10,1
ABCC11,1
ABCC12,1
ABCC2,1
ABCC3,0.0471521035598705
ABCC4,0.576142355008787
ABCC6,1
ABCC8,0.723360334465639
ABCC9,1
ABCD2,1
ABCD3,0.340542970154621
ABCE1,0.082643221781055
ABCG1,0.0471521035598705
ABCG4,0.0471521035598705
ABCG5,1
ABHD1,0.0471521035598705
ABHD10,1
ABHD11,1
ABHD12,1
ABHD15,0.397815699658703
ABHD16A,0.0471521035598705
ABHD16B,1
ABHD18,1
ABHD3,1
ABHD5,0.0471521035598705
ABHD6,1
ABI2,0.0471521035598705
ABI3BP,0.0471521035598705
ABL2,0.0471521035598705
ABLIM3,0.432344213649852
ABR,0.0471521035598705
ABRA,0.0471521035598705
ABTB1,0.0471521035598705
ABTB2,1
ACAD10,0.915909090909091
ACAD11,1
ACAD8,0.260695825049702
ACAD9,0.0471521035598705
ACADM,0.0471521035598705
ACADS,0.216355536699194
ACADSB,0.216355536699194
ACADVL,0.432344213649852
ACAN,0.169339841933984
ACAP1,0.169339841933984
ACAP3,0.0471521035598705
ACAT2,0.0471521035598705
ACBD3,0.0471521035598705
ACBD4,1
ACCSL,1
ACD,0.0471521035598705
ACE,0.965128933049444
ACER1,1
ACER3,0.659185632026323
ACKR1,0.0471521035598705
ACLY,0.082643221781055
ACMSD,0.499439077594266
ACO1,0.0471521035598705
ACOT11,0.617024280067758
ACOT12,0.903758209681343
ACOT4,0.0471521035598705
ACOX1,0.54512122119126
ACOX3,1
ACOXL,1
ACP1,0.301826741996234
ACP2,1
ACP5,0.0471521035598705
ACPP,0.903758209681343
ACPT,1
ACRBP,1
ACSBG1,1
ACSBG2,1
ACSF2,0.0471521035598705
ACSF3,1
ACSL1,1
ACSL5,1
ACSM1,1
ACSM3,1
ACSM4,1
ACSM6,1
ACSS1,0.0471521035598705
ACSS2,1
ACSS3,1
ACTA1,0.0471521035598705
ACTA2,0.082643221781055
ACTBL2,0.082643221781055
ACTC1,0.301826741996234
ACTG2,0.238461538461538
ACTL7A,1
ACTR1B,0.301826741996234
ACTR5,0.194180364282541
ACTR8,0.54512122119126
ACVR1,0.194180364282541
ACVR1B,0.340542970154621
ACYP1,1
ADA,0.141250605913718
ADAD1,1
ADAD2,1
ADAL,1
ADAM15,0.238461538461538
ADAM17,0.530300272975432
ADAM18,1
ADAM19,0.113179699637494
ADAM2,0.991854460093897
ADAM28,1
ADAM30,0.513972392638037
ADAM32,1
ADAM33,0.0471521035598705
ADAM7,1
ADAM8,0.877710843373494
ADAM9,0.0471521035598705
ADAMDEC1,1
ADAMTS10,1
ADAMTS14,0.864260998517054
ADAMTS16,1
ADAMTS17,1
ADAMTS18,1
ADAMTS19,1
ADAMTS2,0.0471521035598705
ADAMTS20,1
ADAMTS3,0.260695825049702
ADAMTS4,0.95308039961941
ADAMTS5,1
ADAMTS6,1
ADAMTS8,1
ADAMTSL1,0.260695825049702
ADAMTSL3,1
ADAMTSL4,0.0471521035598705
ADAMTSL5,0.082643221781055
ADAP2,1
ADAT1,1
ADAT2,0.0471521035598705
ADCK1,0.082643221781055
ADCK3,1
ADCK4,1
ADCK5,0.991854460093897
ADCY1,0.397815699658703
ADCY10,1
ADCY3,0.141250605913718
ADCY4,0.169339841933984
ADCY6,0.260695825049702
ADCY7,0.238461538461538
ADCY9,0.281818181818182
ADD1,0.432344213649852
ADD2,0.340542970154621
ADGB,1
ADGRA1,0.54512122119126
ADGRA2,0.0471521035598705
ADGRA3,0.0471521035598705
ADGRD1,1
ADGRE1,1
