Interactor1	Interactor2	geneName1	geneName2	Complex.name	Complex.id
Q8N726	Q7Z6Z7	NA	NA	ARF-Mule complex	220
Q8N726	P06748	NA	NPM1	ARF-Mule complex	220
Q7Z6Z7	P06748	NA	NPM1	ARF-Mule complex	220
P04406	P09429	GAPDH	HMGB1	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P04406	P26583	GAPDH	NA	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P04406	P11142	GAPDH	HSPA8	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P04406	P30101	GAPDH	PDIA3	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P09429	P26583	HMGB1	NA	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P09429	P11142	HMGB1	HSPA8	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P09429	P30101	HMGB1	PDIA3	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P26583	P11142	NA	HSPA8	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P26583	P30101	NA	PDIA3	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
P11142	P30101	HSPA8	PDIA3	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280
Q9UKV3	O60306	ACIN1	AQR	Spliceosome	351
Q9UKV3	Q13838	ACIN1	DDX39B	Spliceosome	351
Q9UKV3	O75934	ACIN1	BCAS2	Spliceosome	351
Q9UKV3	Q9BRD0	ACIN1	NA	Spliceosome	351
Q9UKV3	P41223	ACIN1	NA	Spliceosome	351
Q9UKV3	Q9Y6A4	ACIN1	NA	Spliceosome	351
Q9UKV3	Q8WUQ7	ACIN1	CACTIN	Spliceosome	351
Q9UKV3	Q9BQ61	ACIN1	NA	Spliceosome	351
Q9UKV3	O95400	ACIN1	NA	Spliceosome	351
Q9UKV3	O60508	ACIN1	CDC40	Spliceosome	351
Q9UKV3	Q99459	ACIN1	CDC5L	Spliceosome	351
Q9UKV3	Q14011	ACIN1	CIRBP	Spliceosome	351
Q9UKV3	Q16630	ACIN1	CPSF6	Spliceosome	351
Q9UKV3	Q9NYV4	ACIN1	NA	Spliceosome	351
Q9UKV3	Q9BZJ0	ACIN1	CRNKL1	Spliceosome	351
Q9UKV3	O95232	ACIN1	NA	Spliceosome	351
Q9UKV3	Q8WYA6	ACIN1	NA	Spliceosome	351
Q9UKV3	Q9P013	ACIN1	CWC15	Spliceosome	351
Q9UKV3	Q9HCG8	ACIN1	CWC22	Spliceosome	351
Q9UKV3	Q92841	ACIN1	DDX17	Spliceosome	351
Q9UKV3	Q9BUQ8	ACIN1	DDX23	Spliceosome	351
Q9UKV3	O00571	ACIN1	DDX3X	Spliceosome	351
Q9UKV3	Q9UJV9	ACIN1	DDX41	Spliceosome	351
Q9UKV3	Q7L014	ACIN1	DDX46	Spliceosome	351
Q9UKV3	P17844	ACIN1	DDX5	Spliceosome	351
Q9UKV3	Q96DF8	ACIN1	ESS2	Spliceosome	351
Q9UKV3	O43143	ACIN1	DHX15	Spliceosome	351
Q9UKV3	O60231	ACIN1	DHX16	Spliceosome	351
Q9UKV3	Q92620	ACIN1	DHX38	Spliceosome	351
Q9UKV3	Q14562	ACIN1	DHX8	Spliceosome	351
Q9UKV3	Q08211	ACIN1	DHX9	Spliceosome	351
Q9UKV3	O75937	ACIN1	DNAJC8	Spliceosome	351
Q9UKV3	Q15029	ACIN1	EFTUD2	Spliceosome	351
Q9UKV3	P38919	ACIN1	EIF4A3	Spliceosome	351
Q9UKV3	Q4ZG51	ACIN1	NA	Spliceosome	351
Q9UKV3	Q9Y5B6	ACIN1	NA	Spliceosome	351
Q9UKV3	O43719	ACIN1	HTATSF1	Spliceosome	351
Q9UKV3	O00425	ACIN1	IGF2BP3	Spliceosome	351
Q9UKV3	Q13123	ACIN1	IK	Spliceosome	351
Q9UKV3	Q9ULR0	ACIN1	ISY1	Spliceosome	351
Q9UKV3	Q69YN4	ACIN1	NA	Spliceosome	351
Q9UKV3	Q9Y333	ACIN1	LSM2	Spliceosome	351
Q9UKV3	P62310	ACIN1	LSM3	Spliceosome	351
Q9UKV3	Q9Y4Z0	ACIN1	LSM4	Spliceosome	351
Q9UKV3	P62312	ACIN1	LSM6	Spliceosome	351
Q9UKV3	Q9UK45	ACIN1	LSM7	Spliceosome	351
Q9UKV3	P61326	ACIN1	MAGOH	Spliceosome	351
Q9UKV3	P55081	ACIN1	MFAP1	Spliceosome	351
Q9UKV3	Q9HCE1	ACIN1	MOV10	Spliceosome	351
Q9UKV3	Q09161	ACIN1	NCBP1	Spliceosome	351
Q9UKV3	P52298	ACIN1	NCBP2	Spliceosome	351
Q9UKV3	P55769	ACIN1	SNU13	Spliceosome	351
Q9UKV3	O43809	ACIN1	NUDT21	Spliceosome	351
Q9UKV3	P11940	ACIN1	PABPC1	Spliceosome	351
Q9UKV3	O43660	ACIN1	PLRG1	Spliceosome	351
Q9UKV3	Q9UNP9	ACIN1	PPIE	Spliceosome	351
Q9UKV3	O43447	ACIN1	NA	Spliceosome	351
Q9UKV3	Q9Y3C6	ACIN1	PPIL1	Spliceosome	351
Q9UKV3	Q13356	ACIN1	NA	Spliceosome	351
Q9UKV3	Q9H2H8	ACIN1	PPIL3	Spliceosome	351
Q9UKV3	O15355	ACIN1	PPM1G	Spliceosome	351
Q9UKV3	Q96BP3	ACIN1	PPWD1	Spliceosome	351
Q9UKV3	Q99633	ACIN1	NA	Spliceosome	351
Q9UKV3	Q9UMS4	ACIN1	PRPF19	Spliceosome	351
Q9UKV3	O43395	ACIN1	NA	Spliceosome	351
Q9UKV3	Q8WWY3	ACIN1	NA	Spliceosome	351
Q9UKV3	O43172	ACIN1	NA	Spliceosome	351
Q9UKV3	O75400	ACIN1	PRPF40A	Spliceosome	351
Q9UKV3	Q13523	ACIN1	PRPF4B	Spliceosome	351
Q9UKV3	O94906	ACIN1	PRPF6	Spliceosome	351
Q9UKV3	Q6P2Q9	ACIN1	PRPF8	Spliceosome	351
Q9UKV3	Q9UHX1	ACIN1	PUF60	Spliceosome	351
Q9UKV3	Q96T37	ACIN1	RBM15	Spliceosome	351
Q9UKV3	Q96I25	ACIN1	RBM17	Spliceosome	351
Q9UKV3	Q9NW64	ACIN1	RBM22	Spliceosome	351
Q9UKV3	P49756	ACIN1	RBM25	Spliceosome	351
Q9UKV3	Q14498	ACIN1	RBM39	Spliceosome	351
Q9UKV3	Q9Y5S9	ACIN1	RBM8A	Spliceosome	351
Q9UKV3	Q15287	ACIN1	RNPS1	Spliceosome	351
Q9UKV3	O43290	ACIN1	SART1	Spliceosome	351
Q9UKV3	Q15637	ACIN1	SF1	Spliceosome	351
Q9UKV3	Q15459	ACIN1	SF3A1	Spliceosome	351
Q9UKV3	Q15428	ACIN1	SF3A2	Spliceosome	351
Q9UKV3	Q12874	ACIN1	SF3A3	Spliceosome	351
Q9UKV3	O75533	ACIN1	SF3B1	Spliceosome	351
Q9UKV3	Q9Y3B4	ACIN1	SF3B6	Spliceosome	351
Q9UKV3	Q13435	ACIN1	SF3B2	Spliceosome	351
Q9UKV3	Q15393	ACIN1	SF3B3	Spliceosome	351
Q9UKV3	Q15427	ACIN1	SF3B4	Spliceosome	351
Q9UKV3	Q07955	ACIN1	SRSF1	Spliceosome	351
Q9UKV3	Q05519	ACIN1	NA	Spliceosome	351
Q9UKV3	Q01130	ACIN1	SRSF2	Spliceosome	351
Q9UKV3	P84103	ACIN1	SRSF3	Spliceosome	351
Q9UKV3	Q08170	ACIN1	SRSF4	Spliceosome	351
Q9UKV3	Q13243	ACIN1	SRSF5	Spliceosome	351
Q9UKV3	Q16629	ACIN1	SRSF7	Spliceosome	351
Q9UKV3	P42285	ACIN1	MTREX	Spliceosome	351
Q9UKV3	O95391	ACIN1	SLU7	Spliceosome	351
Q9UKV3	O75940	ACIN1	SMNDC1	Spliceosome	351
Q9UKV3	Q2TAY7	ACIN1	SMU1	Spliceosome	351
Q9UKV3	O75643	ACIN1	SNRNP200	Spliceosome	351
Q9UKV3	Q8WVK2	ACIN1	NA	Spliceosome	351
Q9UKV3	Q96DI7	ACIN1	SNRNP40	Spliceosome	351
