Bait	Prey	#Rep	AvgP	BFDR
EIF4A2	gi|10047140|gn|PNO1:56902| RNA-binding protein PNO1 [Homo sapiens]	3	0.1562	0.3273
MEPCE	gi|10047140|gn|PNO1:56902| RNA-binding protein PNO1 [Homo sapiens]	3	0.0007	0.6153
EIF4A2	gi|100816392|gn|FUBP3:8939| far upstream element-binding protein 3 [Homo sapiens]	3	0.9678	0.0017
MEPCE	gi|100816392|gn|FUBP3:8939| far upstream element-binding protein 3 [Homo sapiens]	3	0.6187	0.0942
EIF4A2	gi|100913206|gn|DHX9:1660| ATP-dependent RNA helicase A [Homo sapiens]	3	0.9971	0.0001
MEPCE	gi|100913206|gn|DHX9:1660| ATP-dependent RNA helicase A [Homo sapiens]	3	0.9995	0.0000
EIF4A2	gi|10092601|gn|EIF4G3:8672| eukaryotic translation initiation factor 4 gamma 3 isoform 3 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|10092601|gn|EIF4G3:8672| eukaryotic translation initiation factor 4 gamma 3 isoform 3 [Homo sapiens]	3	0.0725	0.4003
EIF4A2	gi|103485496|gn|CHMP1A:5119| charged multivesicular body protein 1a isoform 2 [Homo sapiens]	3	0.0005	0.6238
MEPCE	gi|103485496|gn|CHMP1A:5119| charged multivesicular body protein 1a isoform 2 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|10800138|gn|HIST1H2BD:3017| histone H2B type 1-D [Homo sapiens]	3	0.8995	0.0050
MEPCE	gi|10800138|gn|HIST1H2BD:3017| histone H2B type 1-D [Homo sapiens]	3	0.9994	0.0000
EIF4A2	gi|10801345|gn|EIF3K:27335| eukaryotic translation initiation factor 3 subunit K [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|10801345|gn|EIF3K:27335| eukaryotic translation initiation factor 3 subunit K [Homo sapiens]	3	0.6772	0.0422
EIF4A2	gi|10835063|gn|NPM1:4869| nucleophosmin isoform 1 [Homo sapiens]	3	0.0043	0.5591
MEPCE	gi|10835063|gn|NPM1:4869| nucleophosmin isoform 1 [Homo sapiens]	3	0.6688	0.0563
EIF4A2	gi|10835067|gn|SSB:6741| lupus La protein [Homo sapiens]	3	0.0673	0.4082
MEPCE	gi|10835067|gn|SSB:6741| lupus La protein [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|10835073|gn|NMT1:4836| glycylpeptide N-tetradecanoyltransferase 1 [Homo sapiens]	3	0.0005	0.6238
MEPCE	gi|10835073|gn|NMT1:4836| glycylpeptide N-tetradecanoyltransferase 1 [Homo sapiens]	3	0.1439	0.3357
EIF4A2	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	0.0124	0.5069
MEPCE	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|10863889|gn|SART1:9092| U4/U6	3	0.0022	0.5834
MEPCE	gi|10863889|gn|SART1:9092| U4/U6	3	0.9825	0.0007
EIF4A2	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	0.0054	0.5487
MEPCE	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	0.1230	0.3559
EIF4A2	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	0.5806	0.1087
MEPCE	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	0.0499	0.4315
MEPCE	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	0.9996	0.0000
EIF4A2	gi|108773784|gn|ABCE1:6059| ATP-binding cassette sub-family E member 1 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|108773784|gn|ABCE1:6059| ATP-binding cassette sub-family E member 1 [Homo sapiens]	3	0.0080	0.5261
EIF4A2	gi|108773810|gn|LARS:51520| leucine--tRNA ligase, cytoplasmic [Homo sapiens]	3	0.0037	0.5635
MEPCE	gi|108773810|gn|LARS:51520| leucine--tRNA ligase, cytoplasmic [Homo sapiens]	3	1.0000	0.0000
EIF4A2	gi|109134349|gn|COPG2:26958| coatomer subunit gamma-2 [Homo sapiens]	3	0.0012	0.6030
MEPCE	gi|109134349|gn|COPG2:26958| coatomer subunit gamma-2 [Homo sapiens]	3	0.0038	0.5632
EIF4A2	gi|109148542|gn|AARS:16| alanine--tRNA ligase, cytoplasmic [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|109148542|gn|AARS:16| alanine--tRNA ligase, cytoplasmic [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|109240550|gn|PSPC1:55269| paraspeckle component 1 [Homo sapiens]	3	1.0000	0.0000
MEPCE	gi|109240550|gn|PSPC1:55269| paraspeckle component 1 [Homo sapiens]	3	0.6666	0.0683
EIF4A2	gi|109452587|gn|FAM98B:283742| protein FAM98B isoform 1 [Homo sapiens]	3	0.6661	0.0715
MEPCE	gi|109452587|gn|FAM98B:283742| protein FAM98B isoform 1 [Homo sapiens]	3	0.0153	0.4964
EIF4A2	gi|109638749|gn|SRP72:6731| signal recognition particle 72 kDa protein isoform 1 [Homo sapiens]	3	0.3837	0.1715
MEPCE	gi|109638749|gn|SRP72:6731| signal recognition particle 72 kDa protein isoform 1 [Homo sapiens]	3	0.2184	0.2887
EIF4A2	gi|11024700|gn|TIMM13:26517| mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|11024700|gn|TIMM13:26517| mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|11024714|gn|UBB:7314| polyubiquitin-B precursor [Homo sapiens]	3	0.0056	0.5462
MEPCE	gi|11024714|gn|UBB:7314| polyubiquitin-B precursor [Homo sapiens]	3	0.0028	0.5749
EIF4A2	gi|110347418|gn|SMC2:10592| structural maintenance of chromosomes protein 2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|110347418|gn|SMC2:10592| structural maintenance of chromosomes protein 2 [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|11056036|gn|TTLL12:23170| tubulin--tyrosine ligase-like protein 12 [Homo sapiens]	3	0.0009	0.6114
MEPCE	gi|11056036|gn|TTLL12:23170| tubulin--tyrosine ligase-like protein 12 [Homo sapiens]	3	0.0023	0.5812
EIF4A2	gi|11056044|gn|PPA1:5464| inorganic pyrophosphatase [Homo sapiens]	3	0.0006	0.6194
MEPCE	gi|11056044|gn|PPA1:5464| inorganic pyrophosphatase [Homo sapiens]	3	0.2683	0.2673
EIF4A2	gi|110815813|gn|ANKFY1:51479| ankyrin repeat and FYVE domain-containing protein 1 isoform 1 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|110815813|gn|ANKFY1:51479| ankyrin repeat and FYVE domain-containing protein 1 isoform 1 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|11225260|gn|TOP1:7150| DNA topoisomerase 1 [Homo sapiens]	3	0.0075	0.5309
MEPCE	gi|11225260|gn|TOP1:7150| DNA topoisomerase 1 [Homo sapiens]	3	0.1546	0.3285
EIF4A2	gi|112293277|gn|DNAJC8:22826| dnaJ homolog subfamily C member 8 [Homo sapiens]	3	0.0032	0.5710
MEPCE	gi|112293277|gn|DNAJC8:22826| dnaJ homolog subfamily C member 8 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|112293285|gn|SPIN1:10927| spindlin-1 [Homo sapiens]	3	0.0001	0.6563
MEPCE	gi|112293285|gn|SPIN1:10927| spindlin-1 [Homo sapiens]	3	0.0823	0.3923
EIF4A2	gi|11321591|gn|HMGB2:3148| high mobility group protein B2 [Homo sapiens]	3	0.0000	0.6820
MEPCE	gi|11321591|gn|HMGB2:3148| high mobility group protein B2 [Homo sapiens]	3	0.0000	0.6820
EIF4A2	gi|11321601|gn|PFKP:5214| 6-phosphofructokinase type C isoform 1 [Homo sapiens]	3	0.0004	0.6277
MEPCE	gi|11321601|gn|PFKP:5214| 6-phosphofructokinase type C isoform 1 [Homo sapiens]	3	0.0003	0.6339
EIF4A2	gi|11321634|gn|CD2AP:23607| CD2-associated protein [Homo sapiens]	3	0.0007	0.6153
MEPCE	gi|11321634|gn|CD2AP:23607| CD2-associated protein [Homo sapiens]	3	0.0001	0.6563
EIF4A2	gi|11415026|gn|RPL18A:6142| 60S ribosomal protein L18a [Homo sapiens]	3	0.0920	0.3821
MEPCE	gi|11415026|gn|RPL18A:6142| 60S ribosomal protein L18a [Homo sapiens]	3	0.3104	0.2475
EIF4A2	gi|114155144|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 4 [Homo sapiens]	3	0.0019	0.5887
MEPCE	gi|114155144|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 4 [Homo sapiens]	3	0.4123	0.1558
EIF4A2	gi|114155146|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 3 [Homo sapiens]	3	0.0003	0.6339
MEPCE	gi|114155146|gn|TPM3:7170| tropomyosin alpha-3 chain isoform 3 [Homo sapiens]	3	0.3157	0.2458
EIF4A2	gi|11464969|gn|PNMA2:10687| paraneoplastic antigen Ma2 [Homo sapiens]	3	0.0026	0.5780
MEPCE	gi|11464969|gn|PNMA2:10687| paraneoplastic antigen Ma2 [Homo sapiens]	3	0.0559	0.4235
EIF4A2	gi|114688046|gn|TBC1D4:9882| TBC1 domain family member 4 [Homo sapiens]	3	0.3371	0.2148
MEPCE	gi|114688046|gn|TBC1D4:9882| TBC1 domain family member 4 [Homo sapiens]	3	0.0577	0.4202
EIF4A2	gi|115298668|gn|SNRNP40:9410| U5 small nuclear ribonucleoprotein 40 kDa protein [Homo sapiens]	3	0.0053	0.5499
MEPCE	gi|115298668|gn|SNRNP40:9410| U5 small nuclear ribonucleoprotein 40 kDa protein [Homo sapiens]	3	0.5740	0.1109
EIF4A2	gi|115298682|gn|PRRC2C:23215| protein PRRC2C [Homo sapiens]	3	0.9657	0.0018
