Interactor1	Interactor2	Complex.name	Complex.id	geneName1	geneName2	GATA4	TBX5	NKX25
P04406	P09429	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280	GAPDH	HMGB1	0	1	1
P04406	P26583	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280	GAPDH	NA	0	1	1
P04406	P11142	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280	GAPDH	HSPA8	0	1	1
P04406	P30101	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280	GAPDH	PDIA3	0	1	1
P09429	P26583	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280	HMGB1	NA	0	1	1
P09429	P11142	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280	HMGB1	HSPA8	0	1	1
P09429	P30101	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280	HMGB1	PDIA3	0	1	1
P26583	P11142	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280	NA	HSPA8	0	1	1
P26583	P30101	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280	NA	PDIA3	0	1	1
P11142	P30101	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	280	HSPA8	PDIA3	0	1	1
Q9UKV3	O60306	Spliceosome	351	ACIN1	AQR	1	0	1
Q9UKV3	Q13838	Spliceosome	351	ACIN1	DDX39B	1	0	1
Q9UKV3	O75934	Spliceosome	351	ACIN1	BCAS2	1	0	1
Q9UKV3	Q9BRD0	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	P41223	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q9Y6A4	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q8WUQ7	Spliceosome	351	ACIN1	CACTIN	1	0	1
Q9UKV3	Q9BQ61	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	O95400	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	O60508	Spliceosome	351	ACIN1	CDC40	1	0	1
Q9UKV3	Q99459	Spliceosome	351	ACIN1	CDC5L	1	0	1
Q9UKV3	Q14011	Spliceosome	351	ACIN1	CIRBP	1	0	1
Q9UKV3	Q16630	Spliceosome	351	ACIN1	CPSF6	1	0	1
Q9UKV3	Q9NYV4	Spliceosome	351	ACIN1	NA	1	0	1
Q9UKV3	Q9BZJ0	Spliceosome	351	ACIN1	CRNKL1	1	0	1
Q9UKV3	O95232	Spliceosome	351	ACIN1	NA	1	0	1
