Bait	Prey	#Rep	#Pep	#Frag	AvgP	BFDR
EIF4A2	gi|10047140|gn|PNO1:56902| RNA-binding protein PNO1 [Homo sapiens]	3	1	5	0.1817	0.4819
MEPCE	gi|10047140|gn|PNO1:56902| RNA-binding protein PNO1 [Homo sapiens]	3	1	5	0.0475	0.5928
EIF4A2	gi|100816392|gn|FUBP3:8939| far upstream element-binding protein 3 [Homo sapiens]	3	4	5|5|5|5	0.9406	0.0108
MEPCE	gi|100816392|gn|FUBP3:8939| far upstream element-binding protein 3 [Homo sapiens]	3	4	5|5|5|5	0.4814	0.2081
EIF4A2	gi|100913206|gn|DHX9:1660| ATP-dependent RNA helicase A [Homo sapiens]	3	29	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.9233	0.0148
MEPCE	gi|100913206|gn|DHX9:1660| ATP-dependent RNA helicase A [Homo sapiens]	3	29	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.9510	0.0093
EIF4A2	gi|10092601|gn|EIF4G3:8672| eukaryotic translation initiation factor 4 gamma 3 isoform 3 [Homo sapiens]	3	44	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9999	0.0000
MEPCE	gi|10092601|gn|EIF4G3:8672| eukaryotic translation initiation factor 4 gamma 3 isoform 3 [Homo sapiens]	3	44	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.4236	0.2532
EIF4A2	gi|103485496|gn|CHMP1A:5119| charged multivesicular body protein 1a isoform 2 [Homo sapiens]	3	1	5	0.1129	0.5437
MEPCE	gi|103485496|gn|CHMP1A:5119| charged multivesicular body protein 1a isoform 2 [Homo sapiens]	3	1	5	0.0876	0.5652
EIF4A2	gi|10800138|gn|HIST1H2BD:3017| histone H2B type 1-D [Homo sapiens]	3	2	5|5	0.6151	0.1319
MEPCE	gi|10800138|gn|HIST1H2BD:3017| histone H2B type 1-D [Homo sapiens]	3	2	5|5	0.6649	0.1048
EIF4A2	gi|10801345|gn|EIF3K:27335| eukaryotic translation initiation factor 3 subunit K [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	1.0000	0.0000
MEPCE	gi|10801345|gn|EIF3K:27335| eukaryotic translation initiation factor 3 subunit K [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.5709	0.1541
EIF4A2	gi|10835063|gn|NPM1:4869| nucleophosmin isoform 1 [Homo sapiens]	3	1	5	0.0175	0.6154
MEPCE	gi|10835063|gn|NPM1:4869| nucleophosmin isoform 1 [Homo sapiens]	3	1	5	0.6403	0.1192
EIF4A2	gi|10835067|gn|SSB:6741| lupus La protein [Homo sapiens]	3	31	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.5086	0.1878
MEPCE	gi|10835067|gn|SSB:6741| lupus La protein [Homo sapiens]	3	31	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	1.0000	0.0000
EIF4A2	gi|10835073|gn|NMT1:4836| glycylpeptide N-tetradecanoyltransferase 1 [Homo sapiens]	3	1	5	0.0486	0.5924
MEPCE	gi|10835073|gn|NMT1:4836| glycylpeptide N-tetradecanoyltransferase 1 [Homo sapiens]	3	1	5	0.1464	0.5138
EIF4A2	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	1	5	0.0218	0.6118
MEPCE	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	1	5	0.0078	0.6279
EIF4A2	gi|10863889|gn|SART1:9092| U4/U6	3	1	105	0.3624	0.3091
MEPCE	gi|10863889|gn|SART1:9092| U4/U6	3	1	105	0.9901	0.0015
EIF4A2	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	5	5|5|5|10|5	0.3125	0.3577
MEPCE	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	5	5|5|5|10|5	0.3750	0.2964
EIF4A2	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	20	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10	0.5361	0.1722
MEPCE	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	20	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10	0.9700	0.0055
EIF4A2	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	4	5|10|5|10	0.3130	0.3568
MEPCE	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	4	5|10|5|10	0.9996	0.0000
EIF4A2	gi|108773784|gn|ABCE1:6059| ATP-binding cassette sub-family E member 1 [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.9992	0.0001
MEPCE	gi|108773784|gn|ABCE1:6059| ATP-binding cassette sub-family E member 1 [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.5066	0.1897
EIF4A2	gi|108773810|gn|LARS:51520| leucine--tRNA ligase, cytoplasmic [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.2372	0.4304
MEPCE	gi|108773810|gn|LARS:51520| leucine--tRNA ligase, cytoplasmic [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.3592	0.3123
EIF4A2	gi|109134349|gn|COPG2:26958| coatomer subunit gamma-2 [Homo sapiens]	3	2	5|5	0.1265	0.5323
MEPCE	gi|109134349|gn|COPG2:26958| coatomer subunit gamma-2 [Homo sapiens]	3	2	5|5	0.1084	0.5472
EIF4A2	gi|109148542|gn|AARS:16| alanine--tRNA ligase, cytoplasmic [Homo sapiens]	3	9	5|5|5|5|5|10|5|5|5	0.2303	0.4390
MEPCE	gi|109148542|gn|AARS:16| alanine--tRNA ligase, cytoplasmic [Homo sapiens]	3	9	5|5|5|5|5|10|5|5|5	0.2335	0.4346
EIF4A2	gi|109240550|gn|PSPC1:55269| paraspeckle component 1 [Homo sapiens]	3	4	5|5|5|5	0.9448	0.0104
MEPCE	gi|109240550|gn|PSPC1:55269| paraspeckle component 1 [Homo sapiens]	3	4	5|5|5|5	0.5983	0.1388
EIF4A2	gi|109452587|gn|FAM98B:283742| protein FAM98B isoform 1 [Homo sapiens]	3	5	5|5|5|5|5	0.7889	0.0522
MEPCE	gi|109452587|gn|FAM98B:283742| protein FAM98B isoform 1 [Homo sapiens]	3	5	5|5|5|5|5	0.4190	0.2569
EIF4A2	gi|109638749|gn|SRP72:6731| signal recognition particle 72 kDa protein isoform 1 [Homo sapiens]	3	1	5	0.4599	0.2227
MEPCE	gi|109638749|gn|SRP72:6731| signal recognition particle 72 kDa protein isoform 1 [Homo sapiens]	3	1	5	0.3188	0.3499
EIF4A2	gi|11024700|gn|TIMM13:26517| mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens]	3	2	5|5	0.0065	0.6305
MEPCE	gi|11024700|gn|TIMM13:26517| mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens]	3	2	5|5	0.0136	0.6192
EIF4A2	gi|11024714|gn|UBB:7314| polyubiquitin-B precursor [Homo sapiens]	3	1	5	0.0114	0.6230
MEPCE	gi|11024714|gn|UBB:7314| polyubiquitin-B precursor [Homo sapiens]	3	1	5	0.0074	0.6285
EIF4A2	gi|110347418|gn|SMC2:10592| structural maintenance of chromosomes protein 2 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.3280	0.3409
MEPCE	gi|110347418|gn|SMC2:10592| structural maintenance of chromosomes protein 2 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.2931	0.3755
EIF4A2	gi|11056036|gn|TTLL12:23170| tubulin--tyrosine ligase-like protein 12 [Homo sapiens]	3	2	5|5	0.1459	0.5144
MEPCE	gi|11056036|gn|TTLL12:23170| tubulin--tyrosine ligase-like protein 12 [Homo sapiens]	3	2	5|5	0.2405	0.4268
EIF4A2	gi|11056044|gn|PPA1:5464| inorganic pyrophosphatase [Homo sapiens]	3	4	5|5|5|5	0.1198	0.5381
MEPCE	gi|11056044|gn|PPA1:5464| inorganic pyrophosphatase [Homo sapiens]	3	4	5|5|5|5	0.2816	0.3848
EIF4A2	gi|110815813|gn|ANKFY1:51479| ankyrin repeat and FYVE domain-containing protein 1 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.2233	0.4469
MEPCE	gi|110815813|gn|ANKFY1:51479| ankyrin repeat and FYVE domain-containing protein 1 isoform 1 [Homo sapiens]	3	4	5|5|5|5	0.2278	0.4421
EIF4A2	gi|11225260|gn|TOP1:7150| DNA topoisomerase 1 [Homo sapiens]	3	2	5|5	0.0310	0.6051
MEPCE	gi|11225260|gn|TOP1:7150| DNA topoisomerase 1 [Homo sapiens]	3	2	5|5	0.2237	0.4462
EIF4A2	gi|112293277|gn|DNAJC8:22826| dnaJ homolog subfamily C member 8 [Homo sapiens]	3	2	5|5	0.1165	0.5415
