Interactor1	Interactor2	geneName1	geneName2	Complex.name	Complex.id
Q92828	Q13227	CORO2A	GPS2	NCOR complex	15
Q92828	O15379	CORO2A	HDAC3	NCOR complex	15
Q92828	O75376	CORO2A	NCOR1	NCOR complex	15
Q92828	O60907	CORO2A	TBL1X	NCOR complex	15
Q92828	Q9BZK7	CORO2A	TBL1XR1	NCOR complex	15
Q13227	O15379	GPS2	HDAC3	NCOR complex	15
Q13227	O75376	GPS2	NCOR1	NCOR complex	15
Q13227	O60907	GPS2	TBL1X	NCOR complex	15
Q13227	Q9BZK7	GPS2	TBL1XR1	NCOR complex	15
O15379	O75376	HDAC3	NCOR1	NCOR complex	15
O15379	O60907	HDAC3	TBL1X	NCOR complex	15
O15379	Q9BZK7	HDAC3	TBL1XR1	NCOR complex	15
O75376	O60907	NCOR1	TBL1X	NCOR complex	15
O75376	Q9BZK7	NCOR1	TBL1XR1	NCOR complex	15
O60907	Q9BZK7	TBL1X	TBL1XR1	NCOR complex	15
P41182	Q13547	BCL6	HDAC1	Mi-2/NuRD-MTA2 complex	41
P41182	O95983	BCL6	MBD3	Mi-2/NuRD-MTA2 complex	41
P41182	O94776	BCL6	MTA2	Mi-2/NuRD-MTA2 complex	41
P41182	Q9BTC8	BCL6	MTA3	Mi-2/NuRD-MTA2 complex	41
Q13547	O95983	HDAC1	MBD3	Mi-2/NuRD-MTA2 complex	41
Q13547	O94776	HDAC1	MTA2	Mi-2/NuRD-MTA2 complex	41
Q13547	Q9BTC8	HDAC1	MTA3	Mi-2/NuRD-MTA2 complex	41
O95983	O94776	MBD3	MTA2	Mi-2/NuRD-MTA2 complex	41
O95983	Q9BTC8	MBD3	MTA3	Mi-2/NuRD-MTA2 complex	41
O94776	Q9BTC8	MTA2	MTA3	Mi-2/NuRD-MTA2 complex	41
Q9UBC3	Q13547	DNMT3B	HDAC1	DNMT3B complex	49
Q9UBC3	O95239	DNMT3B	KIF4A	DNMT3B complex	49
