Bait	Prey	#Rep	#Pep	AvgP	BFDR
EIF4A2	gi|10047140|gn|PNO1:56902| RNA-binding protein PNO1 [Homo sapiens]	3	1	0.2763	0.3295
MEPCE	gi|10047140|gn|PNO1:56902| RNA-binding protein PNO1 [Homo sapiens]	3	1	0.0087	0.6087
EIF4A2	gi|100816392|gn|FUBP3:8939| far upstream element-binding protein 3 [Homo sapiens]	3	4	0.8696	0.0184
MEPCE	gi|100816392|gn|FUBP3:8939| far upstream element-binding protein 3 [Homo sapiens]	3	4	0.3224	0.2901
EIF4A2	gi|100913206|gn|DHX9:1660| ATP-dependent RNA helicase A [Homo sapiens]	3	29	0.9857	0.0012
MEPCE	gi|100913206|gn|DHX9:1660| ATP-dependent RNA helicase A [Homo sapiens]	3	29	0.9981	0.0001
EIF4A2	gi|10092601|gn|EIF4G3:8672| eukaryotic translation initiation factor 4 gamma 3 isoform 3 [Homo sapiens]	3	44	1.0000	0.0000
MEPCE	gi|10092601|gn|EIF4G3:8672| eukaryotic translation initiation factor 4 gamma 3 isoform 3 [Homo sapiens]	3	44	0.3637	0.2523
EIF4A2	gi|103485496|gn|CHMP1A:5119| charged multivesicular body protein 1a isoform 2 [Homo sapiens]	3	1	0.0061	0.6184
MEPCE	gi|103485496|gn|CHMP1A:5119| charged multivesicular body protein 1a isoform 2 [Homo sapiens]	3	1	0.0017	0.6468
EIF4A2	gi|10800138|gn|HIST1H2BD:3017| histone H2B type 1-D [Homo sapiens]	3	2	0.8144	0.0301
MEPCE	gi|10800138|gn|HIST1H2BD:3017| histone H2B type 1-D [Homo sapiens]	3	2	0.8346	0.0260
EIF4A2	gi|10801345|gn|EIF3K:27335| eukaryotic translation initiation factor 3 subunit K [Homo sapiens]	3	8	1.0000	0.0000
MEPCE	gi|10801345|gn|EIF3K:27335| eukaryotic translation initiation factor 3 subunit K [Homo sapiens]	3	8	0.4895	0.1715
EIF4A2	gi|10835063|gn|NPM1:4869| nucleophosmin isoform 1 [Homo sapiens]	3	1	0.0079	0.6108
MEPCE	gi|10835063|gn|NPM1:4869| nucleophosmin isoform 1 [Homo sapiens]	3	1	0.6705	0.0825
EIF4A2	gi|10835067|gn|SSB:6741| lupus La protein [Homo sapiens]	3	31	0.4237	0.2090
MEPCE	gi|10835067|gn|SSB:6741| lupus La protein [Homo sapiens]	3	31	1.0000	0.0000
EIF4A2	gi|10835073|gn|NMT1:4836| glycylpeptide N-tetradecanoyltransferase 1 [Homo sapiens]	3	1	0.0075	0.6130
MEPCE	gi|10835073|gn|NMT1:4836| glycylpeptide N-tetradecanoyltransferase 1 [Homo sapiens]	3	1	0.1471	0.4435
EIF4A2	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	1	0.0312	0.5621
MEPCE	gi|10835121|gn|PKLR:5313| pyruvate kinase isozymes R/L isoform 1 [Homo sapiens]	3	1	0.0024	0.6397
EIF4A2	gi|10863889|gn|SART1:9092| U4/U6	3	1	0.0043	0.6281
MEPCE	gi|10863889|gn|SART1:9092| U4/U6	3	1	0.8951	0.0125
EIF4A2	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	5	0.2816	0.3249
MEPCE	gi|10863927|gn|PPIA:5478| peptidyl-prolyl cis-trans isomerase A [Homo sapiens]	3	5	0.3654	0.2509
EIF4A2	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	20	0.5849	0.1230
MEPCE	gi|10863945|gn|XRCC5:7520| X-ray repair cross-complementing protein 5 [Homo sapiens]	3	20	0.9972	0.0002
EIF4A2	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	4	0.2262	0.3703
MEPCE	gi|10863977|gn|LSM2:57819| U6 snRNA-associated Sm-like protein LSm2 [Homo sapiens]	3	4	1.0000	0.0000
EIF4A2	gi|108773784|gn|ABCE1:6059| ATP-binding cassette sub-family E member 1 [Homo sapiens]	3	10	1.0000	0.0000
MEPCE	gi|108773784|gn|ABCE1:6059| ATP-binding cassette sub-family E member 1 [Homo sapiens]	3	10	0.5540	0.1330
EIF4A2	gi|108773810|gn|LARS:51520| leucine--tRNA ligase, cytoplasmic [Homo sapiens]	3	11	0.1142	0.4787
MEPCE	gi|108773810|gn|LARS:51520| leucine--tRNA ligase, cytoplasmic [Homo sapiens]	3	11	0.3856	0.2350
EIF4A2	gi|109134349|gn|COPG2:26958| coatomer subunit gamma-2 [Homo sapiens]	3	2	0.1317	0.4567
MEPCE	gi|109134349|gn|COPG2:26958| coatomer subunit gamma-2 [Homo sapiens]	3	2	0.1580	0.4328
EIF4A2	gi|109148542|gn|AARS:16| alanine--tRNA ligase, cytoplasmic [Homo sapiens]	3	9	0.0450	0.5453
MEPCE	gi|109148542|gn|AARS:16| alanine--tRNA ligase, cytoplasmic [Homo sapiens]	3	9	0.0433	0.5464
EIF4A2	gi|109240550|gn|PSPC1:55269| paraspeckle component 1 [Homo sapiens]	3	4	0.9475	0.0054
MEPCE	gi|109240550|gn|PSPC1:55269| paraspeckle component 1 [Homo sapiens]	3	4	0.5942	0.1171
EIF4A2	gi|109452587|gn|FAM98B:283742| protein FAM98B isoform 1 [Homo sapiens]	3	5	0.7113	0.0589
MEPCE	gi|109452587|gn|FAM98B:283742| protein FAM98B isoform 1 [Homo sapiens]	3	5	0.3283	0.2860
EIF4A2	gi|109638749|gn|SRP72:6731| signal recognition particle 72 kDa protein isoform 1 [Homo sapiens]	3	1	0.4688	0.1828
MEPCE	gi|109638749|gn|SRP72:6731| signal recognition particle 72 kDa protein isoform 1 [Homo sapiens]	3	1	0.2985	0.3098
EIF4A2	gi|11024700|gn|TIMM13:26517| mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens]	3	2	0.0034	0.6333
MEPCE	gi|11024700|gn|TIMM13:26517| mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens]	3	2	0.0079	0.6108
EIF4A2	gi|11024714|gn|UBB:7314| polyubiquitin-B precursor [Homo sapiens]	3	1	0.0108	0.5993
MEPCE	gi|11024714|gn|UBB:7314| polyubiquitin-B precursor [Homo sapiens]	3	1	0.0054	0.6222
EIF4A2	gi|110347418|gn|SMC2:10592| structural maintenance of chromosomes protein 2 [Homo sapiens]	3	9	0.2269	0.3700
MEPCE	gi|110347418|gn|SMC2:10592| structural maintenance of chromosomes protein 2 [Homo sapiens]	3	9	0.4005	0.2252
EIF4A2	gi|11056036|gn|TTLL12:23170| tubulin--tyrosine ligase-like protein 12 [Homo sapiens]	3	2	0.0604	0.5285
MEPCE	gi|11056036|gn|TTLL12:23170| tubulin--tyrosine ligase-like protein 12 [Homo sapiens]	3	2	0.0828	0.5042
EIF4A2	gi|11056044|gn|PPA1:5464| inorganic pyrophosphatase [Homo sapiens]	3	4	0.0596	0.5292
MEPCE	gi|11056044|gn|PPA1:5464| inorganic pyrophosphatase [Homo sapiens]	3	4	0.4024	0.2224
EIF4A2	gi|110815813|gn|ANKFY1:51479| ankyrin repeat and FYVE domain-containing protein 1 isoform 1 [Homo sapiens]	3	4	0.1765	0.4146
MEPCE	gi|110815813|gn|ANKFY1:51479| ankyrin repeat and FYVE domain-containing protein 1 isoform 1 [Homo sapiens]	3	4	0.1532	0.4382
EIF4A2	gi|11225260|gn|TOP1:7150| DNA topoisomerase 1 [Homo sapiens]	3	2	0.0183	0.5793
MEPCE	gi|11225260|gn|TOP1:7150| DNA topoisomerase 1 [Homo sapiens]	3	2	0.2120	0.3843
EIF4A2	gi|112293277|gn|DNAJC8:22826| dnaJ homolog subfamily C member 8 [Homo sapiens]	3	2	0.0101	0.6027
