Interactor1	Interactor2	geneName1	geneName2	Complex.name	Complex.id
Q92793	Q09472	CREBBP	EP300	Multisubunit ACTR coactivator complex	4
Q92793	Q9Y6Q9	CREBBP	NCOA3	Multisubunit ACTR coactivator complex	4
Q92793	Q92831	CREBBP	KAT2B	Multisubunit ACTR coactivator complex	4
Q09472	Q9Y6Q9	EP300	NCOA3	Multisubunit ACTR coactivator complex	4
Q09472	Q92831	EP300	KAT2B	Multisubunit ACTR coactivator complex	4
Q9Y6Q9	Q92831	NCOA3	KAT2B	Multisubunit ACTR coactivator complex	4
Q92828	Q13227	CORO2A	GPS2	NCOR complex	15
Q92828	O15379	CORO2A	HDAC3	NCOR complex	15
Q92828	O75376	CORO2A	NCOR1	NCOR complex	15
Q92828	O60907	CORO2A	TBL1X	NCOR complex	15
Q92828	Q9BZK7	CORO2A	TBL1XR1	NCOR complex	15
Q13227	O15379	GPS2	HDAC3	NCOR complex	15
Q13227	O75376	GPS2	NCOR1	NCOR complex	15
Q13227	O60907	GPS2	TBL1X	NCOR complex	15
Q13227	Q9BZK7	GPS2	TBL1XR1	NCOR complex	15
O15379	O75376	HDAC3	NCOR1	NCOR complex	15
O15379	O60907	HDAC3	TBL1X	NCOR complex	15
O15379	Q9BZK7	HDAC3	TBL1XR1	NCOR complex	15
O75376	O60907	NCOR1	TBL1X	NCOR complex	15
O75376	Q9BZK7	NCOR1	TBL1XR1	NCOR complex	15
O60907	Q9BZK7	TBL1X	TBL1XR1	NCOR complex	15
P61160	P61158	ACTR2	ACTR3	Arp2/3 protein complex	27
P61160	O15143	ACTR2	ARPC1B	Arp2/3 protein complex	27
P61160	O15144	ACTR2	ARPC2	Arp2/3 protein complex	27
P61160	O15145	ACTR2	ARPC3	Arp2/3 protein complex	27
P61160	P59998	ACTR2	ARPC4	Arp2/3 protein complex	27
P61160	O15511	ACTR2	ARPC5	Arp2/3 protein complex	27
P61158	O15143	ACTR3	ARPC1B	Arp2/3 protein complex	27
P61158	O15144	ACTR3	ARPC2	Arp2/3 protein complex	27
P61158	O15145	ACTR3	ARPC3	Arp2/3 protein complex	27
P61158	P59998	ACTR3	ARPC4	Arp2/3 protein complex	27
P61158	O15511	ACTR3	ARPC5	Arp2/3 protein complex	27
O15143	O15144	ARPC1B	ARPC2	Arp2/3 protein complex	27
O15143	O15145	ARPC1B	ARPC3	Arp2/3 protein complex	27
O15143	P59998	ARPC1B	ARPC4	Arp2/3 protein complex	27
O15143	O15511	ARPC1B	ARPC5	Arp2/3 protein complex	27
O15144	O15145	ARPC2	ARPC3	Arp2/3 protein complex	27
O15144	P59998	ARPC2	ARPC4	Arp2/3 protein complex	27
O15144	O15511	ARPC2	ARPC5	Arp2/3 protein complex	27
O15145	P59998	ARPC3	ARPC4	Arp2/3 protein complex	27
O15145	O15511	ARPC3	ARPC5	Arp2/3 protein complex	27
P59998	O15511	ARPC4	ARPC5	Arp2/3 protein complex	27
P41182	Q13547	BCL6	HDAC1	Mi-2/NuRD-MTA2 complex	41
P41182	O95983	BCL6	MBD3	Mi-2/NuRD-MTA2 complex	41
P41182	O94776	BCL6	MTA2	Mi-2/NuRD-MTA2 complex	41
P41182	Q9BTC8	BCL6	MTA3	Mi-2/NuRD-MTA2 complex	41
Q13547	O95983	HDAC1	MBD3	Mi-2/NuRD-MTA2 complex	41
Q13547	O94776	HDAC1	MTA2	Mi-2/NuRD-MTA2 complex	41
Q13547	Q9BTC8	HDAC1	MTA3	Mi-2/NuRD-MTA2 complex	41
O95983	O94776	MBD3	MTA2	Mi-2/NuRD-MTA2 complex	41
O95983	Q9BTC8	MBD3	MTA3	Mi-2/NuRD-MTA2 complex	41
O94776	Q9BTC8	MTA2	MTA3	Mi-2/NuRD-MTA2 complex	41
Q9UBC3	Q13547	DNMT3B	HDAC1	DNMT3B complex	49
Q9UBC3	O95239	DNMT3B	KIF4A	DNMT3B complex	49
Q9UBC3	Q96ST3	DNMT3B	SIN3A	DNMT3B complex	49
Q9UBC3	O60264	DNMT3B	SMARCA5	DNMT3B complex	49
Q9UBC3	O95347	DNMT3B	SMC2	DNMT3B complex	49
Q9UBC3	Q9NTJ3	DNMT3B	SMC4	DNMT3B complex	49
Q13547	O95239	HDAC1	KIF4A	DNMT3B complex	49
Q13547	Q96ST3	HDAC1	SIN3A	DNMT3B complex	49
Q13547	O60264	HDAC1	SMARCA5	DNMT3B complex	49
Q13547	O95347	HDAC1	SMC2	DNMT3B complex	49
Q13547	Q9NTJ3	HDAC1	SMC4	DNMT3B complex	49
O95239	Q96ST3	KIF4A	SIN3A	DNMT3B complex	49
O95239	O60264	KIF4A	SMARCA5	DNMT3B complex	49
O95239	O95347	KIF4A	SMC2	DNMT3B complex	49
O95239	Q9NTJ3	KIF4A	SMC4	DNMT3B complex	49
Q96ST3	O60264	SIN3A	SMARCA5	DNMT3B complex	49
Q96ST3	O95347	SIN3A	SMC2	DNMT3B complex	49
Q96ST3	Q9NTJ3	SIN3A	SMC4	DNMT3B complex	49
O60264	O95347	SMARCA5	SMC2	DNMT3B complex	49
O60264	Q9NTJ3	SMARCA5	SMC4	DNMT3B complex	49
O95347	Q9NTJ3	SMC2	SMC4	DNMT3B complex	49
Q13547	Q92769	HDAC1	HDAC2	SIN3 complex	54
Q13547	Q09028	HDAC1	RBBP4	SIN3 complex	54
Q13547	Q16576	HDAC1	RBBP7	SIN3 complex	54
Q13547	O00422	HDAC1	SAP18	SIN3 complex	54
Q13547	O75446	HDAC1	SAP30	SIN3 complex	54
Q13547	Q96ST3	HDAC1	SIN3A	SIN3 complex	54
Q92769	Q09028	HDAC2	RBBP4	SIN3 complex	54
Q92769	Q16576	HDAC2	RBBP7	SIN3 complex	54
Q92769	O00422	HDAC2	SAP18	SIN3 complex	54
Q92769	O75446	HDAC2	SAP30	SIN3 complex	54
Q92769	Q96ST3	HDAC2	SIN3A	SIN3 complex	54
Q09028	Q16576	RBBP4	RBBP7	SIN3 complex	54
Q09028	O00422	RBBP4	SAP18	SIN3 complex	54
Q09028	O75446	RBBP4	SAP30	SIN3 complex	54
Q09028	Q96ST3	RBBP4	SIN3A	SIN3 complex	54
Q16576	O00422	RBBP7	SAP18	SIN3 complex	54
Q16576	O75446	RBBP7	SAP30	SIN3 complex	54
Q16576	Q96ST3	RBBP7	SIN3A	SIN3 complex	54
O00422	O75446	SAP18	SAP30	SIN3 complex	54
O00422	Q96ST3	SAP18	SIN3A	SIN3 complex	54
O75446	Q96ST3	SAP30	SIN3A	SIN3 complex	54
Q13227	O15379	GPS2	HDAC3	SMRT complex	58
Q13227	Q9Y618	GPS2	NCOR2	SMRT complex	58
Q13227	O60907	GPS2	TBL1X	SMRT complex	58
Q13227	Q9BZK7	GPS2	TBL1XR1	SMRT complex	58
O15379	Q9Y618	HDAC3	NCOR2	SMRT complex	58
O15379	O60907	HDAC3	TBL1X	SMRT complex	58
O15379	Q9BZK7	HDAC3	TBL1XR1	SMRT complex	58
Q9Y618	O60907	NCOR2	TBL1X	SMRT complex	58
Q9Y618	Q9BZK7	NCOR2	TBL1XR1	SMRT complex	58
O60907	Q9BZK7	TBL1X	TBL1XR1	SMRT complex	58
Q14839	Q13547	CHD4	HDAC1	Mi2/NuRD complex	61
Q14839	Q92769	CHD4	HDAC2	Mi2/NuRD complex	61
Q14839	O95983	CHD4	MBD3	Mi2/NuRD complex	61
Q14839	O94776	CHD4	MTA2	Mi2/NuRD complex	61
Q14839	Q09028	CHD4	RBBP4	Mi2/NuRD complex	61
Q14839	Q16576	CHD4	RBBP7	Mi2/NuRD complex	61
Q13547	Q92769	HDAC1	HDAC2	Mi2/NuRD complex	61
Q13547	O95983	HDAC1	MBD3	Mi2/NuRD complex	61
Q13547	O94776	HDAC1	MTA2	Mi2/NuRD complex	61
Q13547	Q09028	HDAC1	RBBP4	Mi2/NuRD complex	61
Q13547	Q16576	HDAC1	RBBP7	Mi2/NuRD complex	61
Q92769	O95983	HDAC2	MBD3	Mi2/NuRD complex	61
Q92769	O94776	HDAC2	MTA2	Mi2/NuRD complex	61
Q92769	Q09028	HDAC2	RBBP4	Mi2/NuRD complex	61
Q92769	Q16576	HDAC2	RBBP7	Mi2/NuRD complex	61
O95983	O94776	MBD3	MTA2	Mi2/NuRD complex	61
O95983	Q09028	MBD3	RBBP4	Mi2/NuRD complex	61
O95983	Q16576	MBD3	RBBP7	Mi2/NuRD complex	61
O94776	Q09028	MTA2	RBBP4	Mi2/NuRD complex	61
O94776	Q16576	MTA2	RBBP7	Mi2/NuRD complex	61
Q09028	Q16576	RBBP4	RBBP7	Mi2/NuRD complex	61
Q14839	Q13547	CHD4	HDAC1	MeCP1 complex	62
Q14839	Q92769	CHD4	HDAC2	MeCP1 complex	62
Q14839	Q9UBB5	CHD4	MBD2	MeCP1 complex	62
Q14839	O95983	CHD4	MBD3	MeCP1 complex	62
Q14839	O94776	CHD4	MTA2	MeCP1 complex	62
Q14839	Q09028	CHD4	RBBP4	MeCP1 complex	62
Q14839	Q16576	CHD4	RBBP7	MeCP1 complex	62
Q13547	Q92769	HDAC1	HDAC2	MeCP1 complex	62
Q13547	Q9UBB5	HDAC1	MBD2	MeCP1 complex	62
Q13547	O95983	HDAC1	MBD3	MeCP1 complex	62
Q13547	O94776	HDAC1	MTA2	MeCP1 complex	62
Q13547	Q09028	HDAC1	RBBP4	MeCP1 complex	62
Q13547	Q16576	HDAC1	RBBP7	MeCP1 complex	62
Q92769	Q9UBB5	HDAC2	MBD2	MeCP1 complex	62
Q92769	O95983	HDAC2	MBD3	MeCP1 complex	62
Q92769	O94776	HDAC2	MTA2	MeCP1 complex	62
Q92769	Q09028	HDAC2	RBBP4	MeCP1 complex	62
Q92769	Q16576	HDAC2	RBBP7	MeCP1 complex	62
Q9UBB5	O95983	MBD2	MBD3	MeCP1 complex	62
Q9UBB5	O94776	MBD2	MTA2	MeCP1 complex	62
Q9UBB5	Q09028	MBD2	RBBP4	MeCP1 complex	62
Q9UBB5	Q16576	MBD2	RBBP7	MeCP1 complex	62
O95983	O94776	MBD3	MTA2	MeCP1 complex	62
O95983	Q09028	MBD3	RBBP4	MeCP1 complex	62
O95983	Q16576	MBD3	RBBP7	MeCP1 complex	62
O94776	Q09028	MTA2	RBBP4	MeCP1 complex	62
O94776	Q16576	MTA2	RBBP7	MeCP1 complex	62
Q09028	Q16576	RBBP4	RBBP7	MeCP1 complex	62
Q15648	Q93074	MED1	MED12	TRAP complex	66
Q15648	O60244	MED1	MED14	TRAP complex	66
Q15648	Q9Y2X0	MED1	MED16	TRAP complex	66
Q15648	Q9NVC6	MED1	MED17	TRAP complex	66
Q15648	O75448	MED1	MED24	TRAP complex	66
Q15648	P10827	MED1	THRA	TRAP complex	66
Q15648	Q9Y2W1	MED1	THRAP3	TRAP complex	66
Q93074	O60244	MED12	MED14	TRAP complex	66
Q93074	Q9Y2X0	MED12	MED16	TRAP complex	66
Q93074	Q9NVC6	MED12	MED17	TRAP complex	66
Q93074	O75448	MED12	MED24	TRAP complex	66
Q93074	P10827	MED12	THRA	TRAP complex	66
Q93074	Q9Y2W1	MED12	THRAP3	TRAP complex	66
O60244	Q9Y2X0	MED14	MED16	TRAP complex	66
O60244	Q9NVC6	MED14	MED17	TRAP complex	66
O60244	O75448	MED14	MED24	TRAP complex	66
O60244	P10827	MED14	THRA	TRAP complex	66
O60244	Q9Y2W1	MED14	THRAP3	TRAP complex	66
Q9Y2X0	Q9NVC6	MED16	MED17	TRAP complex	66
Q9Y2X0	O75448	MED16	MED24	TRAP complex	66
Q9Y2X0	P10827	MED16	THRA	TRAP complex	66
Q9Y2X0	Q9Y2W1	MED16	THRAP3	TRAP complex	66
Q9NVC6	O75448	MED17	MED24	TRAP complex	66
Q9NVC6	P10827	MED17	THRA	TRAP complex	66
Q9NVC6	Q9Y2W1	MED17	THRAP3	TRAP complex	66
O75448	P10827	MED24	THRA	TRAP complex	66
O75448	Q9Y2W1	MED24	THRAP3	TRAP complex	66
P10827	Q9Y2W1	THRA	THRAP3	TRAP complex	66
P49959	O60934	MRE11	NBN	MRN complex (MRE11-RAD50-NBS1 complex)	71
P49959	Q92878	MRE11	RAD50	MRN complex (MRE11-RAD50-NBS1 complex)	71
O60934	Q92878	NBN	RAD50	MRN complex (MRE11-RAD50-NBS1 complex)	71
P49959	Q92878	MRE11	RAD50	R/M complex (RAD50-MRE11 complex)	72
P49959	O60934	MRE11	NBN	MRN complex (MRE11-RAD50-NBN complex)	73
P49959	Q92878	MRE11	RAD50	MRN complex (MRE11-RAD50-NBN complex)	73
O60934	Q92878	NBN	RAD50	MRN complex (MRE11-RAD50-NBN complex)	73
Q92574	P49815	TSC1	NA	TSC1-TSC2 complex	75
P60709	O14497	ACTB	ARID1A	NUMAC complex (nucleosomal methylation activator complex)	86
P60709	Q86X55	ACTB	NA	NUMAC complex (nucleosomal methylation activator complex)	86
P60709	Q96KG9	ACTB	NA	NUMAC complex (nucleosomal methylation activator complex)	86
P60709	P51532	ACTB	SMARCA4	NUMAC complex (nucleosomal methylation activator complex)	86
